preamble,stimulus,item,category,rank,true,"score (sum, mean, [list)",params,model
It is false that a lark is a,bird.,lark,bird,8,-1,"(-7.18914794921875, -3.594573974609375, [-5.687156677246094, -1.5019912719726562])",124439808,gpt2
It is true that a swallow is a,bird.,swallow,bird,9,1,"(-8.9534912109375, -4.47674560546875, [-7.009864807128906, -1.9436264038085938])",124439808,gpt2
It is false that a swallow is a,bird.,swallow,bird,9,-1,"(-8.298797607421875, -4.1493988037109375, [-6.887733459472656, -1.4110641479492188])",124439808,gpt2
It is true that a parakeet is a,bird.,parakeet,bird,10,1,"(-6.457969665527344, -3.228984832763672, [-4.137077331542969, -2.320892333984375])",124439808,gpt2
It is false that a parakeet is a,bird.,parakeet,bird,10,-1,"(-5.564971923828125, -2.7824859619140625, [-4.0853118896484375, -1.4796600341796875])",124439808,gpt2
It is true that an oriole is a,bird.,oriole,bird,11,1,"(-7.0244140625, -3.51220703125, [-4.122215270996094, -2.9021987915039062])",124439808,gpt2
It is false that an oriole is a,bird.,oriole,bird,11,-1,"(-5.901214599609375, -2.9506072998046875, [-4.179756164550781, -1.7214584350585938])",124439808,gpt2
It is true that a mockingbird is a,bird.,mockingbird,bird,12,1,"(-8.394432067871094, -4.197216033935547, [-5.568458557128906, -2.8259735107421875])",124439808,gpt2
It is false that a mockingbird is a,bird.,mockingbird,bird,12,-1,"(-7.3628387451171875, -3.6814193725585938, [-5.6915435791015625, -1.671295166015625])",124439808,gpt2
It is true that a redbird is a,bird.,redbird,bird,13,1,"(-5.9334564208984375, -2.9667282104492188, [-2.8937454223632812, -3.0397109985351562])",124439808,gpt2
It is false that a redbird is a,bird.,redbird,bird,13,-1,"(-4.6395721435546875, -2.3197860717773438, [-2.4826583862304688, -2.1569137573242188])",124439808,gpt2
It is true that a wren is a,bird.,wren,bird,14,1,"(-8.553802490234375, -4.2769012451171875, [-6.1625213623046875, -2.3912811279296875])",124439808,gpt2
It is false that a wren is a,bird.,wren,bird,14,-1,"(-8.023307800292969, -4.011653900146484, [-6.427711486816406, -1.5955963134765625])",124439808,gpt2
It is true that a finch is a,bird.,finch,bird,15,1,"(-8.544059753417969, -4.272029876708984, [-6.0570068359375, -2.4870529174804688])",124439808,gpt2
It is false that a finch is a,bird.,finch,bird,15,-1,"(-7.76007080078125, -3.880035400390625, [-6.09747314453125, -1.66259765625])",124439808,gpt2
It is true that a starling is a,bird.,starling,bird,16,1,"(-7.8759765625, -3.93798828125, [-5.8113861083984375, -2.0645904541015625])",124439808,gpt2
It is false that a starling is a,bird.,starling,bird,16,-1,"(-6.878349304199219, -3.4391746520996094, [-5.366447448730469, -1.51190185546875])",124439808,gpt2
It is true that a cardinal is a,bird.,cardinal,bird,17,1,"(-10.404273986816406, -5.202136993408203, [-8.177688598632812, -2.2265853881835938])",124439808,gpt2
It is false that a cardinal is a,bird.,cardinal,bird,17,-1,"(-10.247955322265625, -5.1239776611328125, [-8.603050231933594, -1.6449050903320312])",124439808,gpt2
It is true that an eagle is a,bird.,eagle,bird,18,1,"(-5.443901062011719, -2.7219505310058594, [-3.10125732421875, -2.3426437377929688])",124439808,gpt2
It is false that an eagle is a,bird.,eagle,bird,18,-1,"(-4.34161376953125, -2.170806884765625, [-2.6018524169921875, -1.7397613525390625])",124439808,gpt2
It is true that a hummingbird is a,bird.,hummingbird,bird,19,1,"(-6.9210357666015625, -3.4605178833007812, [-3.8802413940429688, -3.0407943725585938])",124439808,gpt2
It is false that a hummingbird is a,bird.,hummingbird,bird,19,-1,"(-5.488990783691406, -2.744495391845703, [-3.3410415649414062, -2.14794921875])",124439808,gpt2
It is true that a seagull is a,bird.,seagull,bird,20,1,"(-7.3680877685546875, -3.6840438842773438, [-4.868377685546875, -2.4997100830078125])",124439808,gpt2
It is false that a seagull is a,bird.,seagull,bird,20,-1,"(-5.801490783691406, -2.900745391845703, [-4.180793762207031, -1.620697021484375])",124439808,gpt2
It is true that a woodpecker is a,bird.,woodpecker,bird,21,1,"(-7.138832092285156, -3.569416046142578, [-4.778526306152344, -2.3603057861328125])",124439808,gpt2
It is false that a woodpecker is a,bird.,woodpecker,bird,21,-1,"(-5.633964538574219, -2.8169822692871094, [-4.116668701171875, -1.5172958374023438])",124439808,gpt2
It is true that a pigeon is a,bird.,pigeon,bird,22,1,"(-5.6055908203125, -2.80279541015625, [-3.5501480102539062, -2.0554428100585938])",124439808,gpt2
It is false that a pigeon is a,bird.,pigeon,bird,22,-1,"(-4.6839447021484375, -2.3419723510742188, [-3.1170654296875, -1.5668792724609375])",124439808,gpt2
It is true that a thrush is a,bird.,thrush,bird,23,1,"(-8.373565673828125, -4.1867828369140625, [-5.8061065673828125, -2.5674591064453125])",124439808,gpt2
It is false that a thrush is a,bird.,thrush,bird,23,-1,"(-7.0072174072265625, -3.5036087036132812, [-5.401679992675781, -1.6055374145507812])",124439808,gpt2
It is true that a falcon is a,bird.,falcon,bird,24,1,"(-6.328559875488281, -3.1642799377441406, [-3.5600204467773438, -2.7685394287109375])",124439808,gpt2
It is false that a falcon is a,bird.,falcon,bird,24,-1,"(-5.1364288330078125, -2.5682144165039062, [-3.0802536010742188, -2.0561752319335938])",124439808,gpt2
It is true that a crow is a,bird.,crow,bird,25,1,"(-5.894111633300781, -2.9470558166503906, [-3.776763916015625, -2.1173477172851562])",124439808,gpt2
It is false that a crow is a,bird.,crow,bird,25,-1,"(-4.6552734375, -2.32763671875, [-3.0529098510742188, -1.6023635864257812])",124439808,gpt2
It is true that a hawk is a,bird.,hawk,bird,26,1,"(-5.5263214111328125, -2.7631607055664062, [-3.2469863891601562, -2.2793350219726562])",124439808,gpt2
It is false that a hawk is a,bird.,hawk,bird,26,-1,"(-4.5088348388671875, -2.2544174194335938, [-2.7591781616210938, -1.7496566772460938])",124439808,gpt2
It is true that a raven is a,bird.,raven,bird,27,1,"(-6.3372039794921875, -3.1686019897460938, [-3.8095932006835938, -2.5276107788085938])",124439808,gpt2
It is false that a raven is a,bird.,raven,bird,27,-1,"(-5.1313934326171875, -2.5656967163085938, [-3.3233642578125, -1.8080291748046875])",124439808,gpt2
It is true that a goldfinch is a,bird.,goldfinch,bird,28,1,"(-10.398971557617188, -5.199485778808594, [-8.025535583496094, -2.3734359741210938])",124439808,gpt2
It is false that a goldfinch is a,bird.,goldfinch,bird,28,-1,"(-8.476600646972656, -4.238300323486328, [-6.846351623535156, -1.6302490234375])",124439808,gpt2
It is true that a parrot is a,bird.,parrot,bird,29,1,"(-5.663078308105469, -2.8315391540527344, [-3.5717086791992188, -2.09136962890625])",124439808,gpt2
It is false that a parrot is a,bird.,parrot,bird,29,-1,"(-4.552276611328125, -2.2761383056640625, [-3.1164321899414062, -1.4358444213867188])",124439808,gpt2
It is true that a sandpiper is a,bird.,sandpiper,bird,30,1,"(-6.8459625244140625, -3.4229812622070312, [-4.9400482177734375, -1.905914306640625])",124439808,gpt2
It is false that a sandpiper is a,bird.,sandpiper,bird,30,-1,"(-5.706382751464844, -2.853191375732422, [-4.3968048095703125, -1.3095779418945312])",124439808,gpt2
It is true that a pheasant is a,bird.,pheasant,bird,31,1,"(-7.598609924316406, -3.799304962158203, [-5.0452117919921875, -2.5533981323242188])",124439808,gpt2
It is false that a pheasant is a,bird.,pheasant,bird,31,-1,"(-6.387504577636719, -3.1937522888183594, [-4.687126159667969, -1.70037841796875])",124439808,gpt2
It is true that a catbird is a,bird.,catbird,bird,32,1,"(-5.941612243652344, -2.970806121826172, [-3.8394851684570312, -2.1021270751953125])",124439808,gpt2
It is false that a catbird is a,bird.,catbird,bird,32,-1,"(-4.795356750488281, -2.3976783752441406, [-3.3600540161132812, -1.435302734375])",124439808,gpt2
It is true that a crane is a,bird.,crane,bird,33,1,"(-10.098060607910156, -5.049030303955078, [-8.103073120117188, -1.9949874877929688])",124439808,gpt2
It is false that a crane is a,bird.,crane,bird,33,-1,"(-8.486038208007812, -4.243019104003906, [-7.002189636230469, -1.4838485717773438])",124439808,gpt2
It is true that an albatross is a,bird.,albatross,bird,34,1,"(-6.668190002441406, -3.334095001220703, [-4.4744415283203125, -2.1937484741210938])",124439808,gpt2
It is false that an albatross is a,bird.,albatross,bird,34,-1,"(-5.113365173339844, -2.556682586669922, [-3.6441268920898438, -1.46923828125])",124439808,gpt2
It is true that a condor is a,bird.,condor,bird,35,1,"(-8.698097229003906, -4.349048614501953, [-6.344085693359375, -2.3540115356445312])",124439808,gpt2
It is false that a condor is a,bird.,condor,bird,35,-1,"(-7.805267333984375, -3.9026336669921875, [-6.246208190917969, -1.5590591430664062])",124439808,gpt2
It is true that a toucan is a,bird.,toucan,bird,36,1,"(-7.200439453125, -3.6002197265625, [-5.176994323730469, -2.0234451293945312])",124439808,gpt2
It is false that a toucan is a,bird.,toucan,bird,36,-1,"(-6.0548095703125, -3.02740478515625, [-4.784126281738281, -1.2706832885742188])",124439808,gpt2
It is true that an owl is a,bird.,owl,bird,37,1,"(-6.279487609863281, -3.1397438049316406, [-4.0454864501953125, -2.2340011596679688])",124439808,gpt2
It is false that an owl is a,bird.,owl,bird,37,-1,"(-5.1447906494140625, -2.5723953247070312, [-3.560150146484375, -1.5846405029296875])",124439808,gpt2
It is true that a pelican is a,bird.,pelican,bird,38,1,"(-7.691642761230469, -3.8458213806152344, [-5.351020812988281, -2.3406219482421875])",124439808,gpt2
It is false that a pelican is a,bird.,pelican,bird,38,-1,"(-6.3164215087890625, -3.1582107543945312, [-4.765289306640625, -1.5511322021484375])",124439808,gpt2
It is true that a goose is a,bird.,goose,bird,39,1,"(-5.458831787109375, -2.7294158935546875, [-3.6436614990234375, -1.8151702880859375])",124439808,gpt2
It is false that a goose is a,bird.,goose,bird,39,-1,"(-4.581573486328125, -2.2907867431640625, [-3.1053619384765625, -1.4762115478515625])",124439808,gpt2
It is true that a vulture is a,bird.,vulture,bird,40,1,"(-6.3217010498046875, -3.1608505249023438, [-4.0544586181640625, -2.267242431640625])",124439808,gpt2
It is false that a vulture is a,bird.,vulture,bird,40,-1,"(-5.4765472412109375, -2.7382736206054688, [-3.95343017578125, -1.5231170654296875])",124439808,gpt2
It is true that a stork is a,bird.,stork,bird,41,1,"(-7.723442077636719, -3.8617210388183594, [-5.7764739990234375, -1.9469680786132812])",124439808,gpt2
It is false that a stork is a,bird.,stork,bird,41,-1,"(-6.609771728515625, -3.3048858642578125, [-5.180488586425781, -1.4292831420898438])",124439808,gpt2
It is true that a buzzard is a,bird.,buzzard,bird,42,1,"(-8.590995788574219, -4.295497894287109, [-6.2711334228515625, -2.3198623657226562])",124439808,gpt2
It is false that a buzzard is a,bird.,buzzard,bird,42,-1,"(-7.207283020019531, -3.6036415100097656, [-5.601593017578125, -1.6056900024414062])",124439808,gpt2
It is true that a swan is a,bird.,swan,bird,43,1,"(-6.989646911621094, -3.494823455810547, [-4.54241943359375, -2.4472274780273438])",124439808,gpt2
It is false that a swan is a,bird.,swan,bird,43,-1,"(-5.863197326660156, -2.931598663330078, [-4.252220153808594, -1.6109771728515625])",124439808,gpt2
It is true that a flamingo is a,bird.,flamingo,bird,44,1,"(-6.984535217285156, -3.492267608642578, [-5.017967224121094, -1.9665679931640625])",124439808,gpt2
It is false that a flamingo is a,bird.,flamingo,bird,44,-1,"(-5.8535614013671875, -2.9267807006835938, [-4.444679260253906, -1.4088821411132812])",124439808,gpt2
It is true that a duck is a,bird.,duck,bird,45,1,"(-5.860801696777344, -2.930400848388672, [-4.053932189941406, -1.8068695068359375])",124439808,gpt2
It is false that a duck is a,bird.,duck,bird,45,-1,"(-4.851478576660156, -2.425739288330078, [-3.4982223510742188, -1.3532562255859375])",124439808,gpt2
It is true that a peacock is a,bird.,peacock,bird,46,1,"(-7.0536346435546875, -3.5268173217773438, [-4.223846435546875, -2.8297882080078125])",124439808,gpt2
It is false that a peacock is a,bird.,peacock,bird,46,-1,"(-5.7144317626953125, -2.8572158813476562, [-3.6940460205078125, -2.0203857421875])",124439808,gpt2
It is true that an egret is a,bird.,egret,bird,47,1,"(-8.115730285644531, -4.057865142822266, [-6.121650695800781, -1.99407958984375])",124439808,gpt2
It is false that an egret is a,bird.,egret,bird,47,-1,"(-7.191215515136719, -3.5956077575683594, [-5.8143768310546875, -1.3768386840820312])",124439808,gpt2
It is true that a chicken is a,bird.,chicken,bird,48,1,"(-6.337409973144531, -3.1687049865722656, [-4.509368896484375, -1.8280410766601562])",124439808,gpt2
It is false that a chicken is a,bird.,chicken,bird,48,-1,"(-5.9198760986328125, -2.9599380493164062, [-4.397575378417969, -1.5223007202148438])",124439808,gpt2
It is true that a turkey is a,bird.,turkey,bird,49,1,"(-6.3372650146484375, -3.1686325073242188, [-4.158042907714844, -2.1792221069335938])",124439808,gpt2
It is false that a turkey is a,bird.,turkey,bird,49,-1,"(-5.5458984375, -2.77294921875, [-3.8867950439453125, -1.6591033935546875])",124439808,gpt2
It is true that an ostrich is a,bird.,ostrich,bird,50,1,"(-8.001731872558594, -4.000865936279297, [-5.004158020019531, -2.9975738525390625])",124439808,gpt2
It is false that an ostrich is a,bird.,ostrich,bird,50,-1,"(-6.2447052001953125, -3.1223526000976562, [-4.3577880859375, -1.8869171142578125])",124439808,gpt2
It is true that a titmouse is a,bird.,titmouse,bird,51,1,"(-8.091148376464844, -4.045574188232422, [-6.08319091796875, -2.0079574584960938])",124439808,gpt2
It is false that a titmouse is a,bird.,titmouse,bird,51,-1,"(-6.7997283935546875, -3.3998641967773438, [-5.436286926269531, -1.3634414672851562])",124439808,gpt2
It is true that an emu is a,bird.,emu,bird,52,1,"(-8.552490234375, -4.2762451171875, [-6.222923278808594, -2.3295669555664062])",124439808,gpt2
It is false that an emu is a,bird.,emu,bird,52,-1,"(-8.069053649902344, -4.034526824951172, [-6.485160827636719, -1.583892822265625])",124439808,gpt2
It is true that a penguin is a,bird.,penguin,bird,53,1,"(-7.2479095458984375, -3.6239547729492188, [-5.08074951171875, -2.1671600341796875])",124439808,gpt2
It is false that a penguin is a,bird.,penguin,bird,53,-1,"(-5.889495849609375, -2.9447479248046875, [-4.4126129150390625, -1.4768829345703125])",124439808,gpt2
It is true that a bat is a,bird.,bat,bird,54,1,"(-7.0109405517578125, -3.5054702758789062, [-5.235099792480469, -1.7758407592773438])",124439808,gpt2
It is false that a bat is a,bird.,bat,bird,54,-1,"(-6.06610107421875, -3.033050537109375, [-4.704154968261719, -1.3619461059570312])",124439808,gpt2
It is true that a pant is a,clothing.,pant,clothing,1,1,"(-10.755134582519531, -5.377567291259766, [-6.946556091308594, -3.8085784912109375])",124439808,gpt2
It is false that a pant is a,clothing.,pant,clothing,1,-1,"(-10.601089477539062, -5.300544738769531, [-7.376014709472656, -3.2250747680664062])",124439808,gpt2
It is true that a shirt is a,clothing.,shirt,clothing,2,1,"(-10.33978271484375, -5.169891357421875, [-7.517860412597656, -2.8219223022460938])",124439808,gpt2
It is false that a shirt is a,clothing.,shirt,clothing,2,-1,"(-10.318008422851562, -5.159004211425781, [-7.725303649902344, -2.5927047729492188])",124439808,gpt2
It is true that a dress is a,clothing.,dress,clothing,3,1,"(-9.557594299316406, -4.778797149658203, [-7.217262268066406, -2.34033203125])",124439808,gpt2
It is false that a dress is a,clothing.,dress,clothing,3,-1,"(-9.575897216796875, -4.7879486083984375, [-7.500457763671875, -2.075439453125])",124439808,gpt2
It is true that a skirt is a,clothing.,skirt,clothing,4,1,"(-12.133026123046875, -6.0665130615234375, [-7.762947082519531, -4.370079040527344])",124439808,gpt2
It is false that a skirt is a,clothing.,skirt,clothing,4,-1,"(-11.447433471679688, -5.723716735839844, [-7.5753021240234375, -3.87213134765625])",124439808,gpt2
It is true that a blouse is a,clothing.,blouse,clothing,5,1,"(-13.016143798828125, -6.5080718994140625, [-7.984748840332031, -5.031394958496094])",124439808,gpt2
It is false that a blouse is a,clothing.,blouse,clothing,5,-1,"(-12.410934448242188, -6.205467224121094, [-7.615814208984375, -4.7951202392578125])",124439808,gpt2
It is true that a suit is a,clothing.,suit,clothing,6,1,"(-12.980720520019531, -6.490360260009766, [-9.143829345703125, -3.8368911743164062])",124439808,gpt2
It is false that a suit is a,clothing.,suit,clothing,6,-1,"(-16.81200408935547, -8.406002044677734, [-11.143638610839844, -5.668365478515625])",124439808,gpt2
It is true that a slack is a,clothing.,slack,clothing,7,1,"(-15.280647277832031, -7.640323638916016, [-11.2093505859375, -4.071296691894531])",124439808,gpt2
It is false that a slack is a,clothing.,slack,clothing,7,-1,"(-14.45965576171875, -7.229827880859375, [-11.047027587890625, -3.412628173828125])",124439808,gpt2
It is true that a jacket is a,clothing.,jacket,clothing,8,1,"(-10.523117065429688, -5.261558532714844, [-7.15802001953125, -3.3650970458984375])",124439808,gpt2
It is false that a jacket is a,clothing.,jacket,clothing,8,-1,"(-10.553535461425781, -5.276767730712891, [-7.3767547607421875, -3.1767807006835938])",124439808,gpt2
It is true that a coat is a,clothing.,coat,clothing,9,1,"(-10.909019470214844, -5.454509735107422, [-8.156326293945312, -2.7526931762695312])",124439808,gpt2
It is false that a coat is a,clothing.,coat,clothing,9,-1,"(-10.403350830078125, -5.2016754150390625, [-8.046844482421875, -2.35650634765625])",124439808,gpt2
It is true that a sweater is a,clothing.,sweater,clothing,10,1,"(-9.9713134765625, -4.98565673828125, [-7.183807373046875, -2.787506103515625])",124439808,gpt2
It is false that a sweater is a,clothing.,sweater,clothing,10,-1,"(-9.728103637695312, -4.864051818847656, [-7.203178405761719, -2.5249252319335938])",124439808,gpt2
It is true that a sweatshirt is a,clothing.,sweatshirt,clothing,11,1,"(-11.339576721191406, -5.669788360595703, [-7.4655914306640625, -3.8739852905273438])",124439808,gpt2
It is false that a sweatshirt is a,clothing.,sweatshirt,clothing,11,-1,"(-10.715461730957031, -5.357730865478516, [-7.2451171875, -3.4703445434570312])",124439808,gpt2
It is true that an underpant is a,clothing.,underpant,clothing,12,1,"(-13.859336853027344, -6.929668426513672, [-10.252532958984375, -3.6068038940429688])",124439808,gpt2
It is false that an underpant is a,clothing.,underpant,clothing,12,-1,"(-13.838478088378906, -6.919239044189453, [-10.308403015136719, -3.5300750732421875])",124439808,gpt2
It is true that a sports jacket is a,clothing.,sports jacket,clothing,13,1,"(-12.396934509277344, -6.198467254638672, [-8.012619018554688, -4.384315490722656])",124439808,gpt2
It is false that a sports jacket is a,clothing.,sports jacket,clothing,13,-1,"(-12.10394287109375, -6.051971435546875, [-8.052474975585938, -4.0514678955078125])",124439808,gpt2
It is true that a jumper is a,clothing.,jumper,clothing,14,1,"(-13.863136291503906, -6.931568145751953, [-10.404144287109375, -3.4589920043945312])",124439808,gpt2
It is false that a jumper is a,clothing.,jumper,clothing,14,-1,"(-14.437156677246094, -7.218578338623047, [-10.61260986328125, -3.8245468139648438])",124439808,gpt2
It is true that a panty is a,clothing.,panty,clothing,15,1,"(-10.658157348632812, -5.329078674316406, [-6.867576599121094, -3.7905807495117188])",124439808,gpt2
It is false that a panty is a,clothing.,panty,clothing,15,-1,"(-10.53277587890625, -5.266387939453125, [-7.3069305419921875, -3.2258453369140625])",124439808,gpt2
It is true that a sock is a,clothing.,sock,clothing,16,1,"(-12.38177490234375, -6.190887451171875, [-9.352821350097656, -3.0289535522460938])",124439808,gpt2
It is false that a sock is a,clothing.,sock,clothing,16,-1,"(-13.450698852539062, -6.725349426269531, [-10.690467834472656, -2.7602310180664062])",124439808,gpt2
It is true that a parka is a,clothing.,parka,clothing,17,1,"(-14.313064575195312, -7.156532287597656, [-9.865898132324219, -4.447166442871094])",124439808,gpt2
It is false that a parka is a,clothing.,parka,clothing,17,-1,"(-13.907920837402344, -6.953960418701172, [-9.640846252441406, -4.2670745849609375])",124439808,gpt2
It is true that a pajama is a,clothing.,pajama,clothing,18,1,"(-11.235366821289062, -5.617683410644531, [-7.3157196044921875, -3.919647216796875])",124439808,gpt2
It is false that a pajama is a,clothing.,pajama,clothing,18,-1,"(-10.867530822753906, -5.433765411376953, [-7.64666748046875, -3.2208633422851562])",124439808,gpt2
It is true that an undershirt is a,clothing.,undershirt,clothing,19,1,"(-11.726531982421875, -5.8632659912109375, [-7.766746520996094, -3.9597854614257812])",124439808,gpt2
It is false that an undershirt is a,clothing.,undershirt,clothing,19,-1,"(-11.278007507324219, -5.639003753662109, [-7.621269226074219, -3.65673828125])",124439808,gpt2
It is true that an overcoat is a,clothing.,overcoat,clothing,20,1,"(-13.492179870605469, -6.746089935302734, [-8.972358703613281, -4.5198211669921875])",124439808,gpt2
It is false that an overcoat is a,clothing.,overcoat,clothing,20,-1,"(-12.386856079101562, -6.193428039550781, [-8.511276245117188, -3.875579833984375])",124439808,gpt2
It is true that a nightgown is a,clothing.,nightgown,clothing,21,1,"(-12.308601379394531, -6.154300689697266, [-8.289138793945312, -4.019462585449219])",124439808,gpt2
It is false that a nightgown is a,clothing.,nightgown,clothing,21,-1,"(-11.740348815917969, -5.870174407958984, [-8.168571472167969, -3.57177734375])",124439808,gpt2
It is true that a raincoat is a,clothing.,raincoat,clothing,22,1,"(-11.753074645996094, -5.876537322998047, [-8.147979736328125, -3.6050949096679688])",124439808,gpt2
It is false that a raincoat is a,clothing.,raincoat,clothing,22,-1,"(-10.908370971679688, -5.454185485839844, [-7.744834899902344, -3.1635360717773438])",124439808,gpt2
It is true that a bathing suit is a,clothing.,bathing suit,clothing,23,1,"(-12.768806457519531, -6.384403228759766, [-8.069091796875, -4.699714660644531])",124439808,gpt2
It is false that a bathing suit is a,clothing.,bathing suit,clothing,23,-1,"(-11.924446105957031, -5.962223052978516, [-7.733879089355469, -4.1905670166015625])",124439808,gpt2
It is true that a bathrobe is a,clothing.,bathrobe,clothing,24,1,"(-11.62127685546875, -5.810638427734375, [-7.879692077636719, -3.7415847778320312])",124439808,gpt2
It is false that a bathrobe is a,clothing.,bathrobe,clothing,24,-1,"(-11.215805053710938, -5.607902526855469, [-7.647865295410156, -3.5679397583007812])",124439808,gpt2
It is true that a slip is a,clothing.,slip,clothing,25,1,"(-16.247573852539062, -8.123786926269531, [-11.901931762695312, -4.34564208984375])",124439808,gpt2
It is false that a slip is a,clothing.,slip,clothing,25,-1,"(-15.793449401855469, -7.896724700927734, [-11.466629028320312, -4.326820373535156])",124439808,gpt2
It is true that a bra is a,clothing.,bra,clothing,26,1,"(-11.556243896484375, -5.7781219482421875, [-7.513023376464844, -4.043220520019531])",124439808,gpt2
It is false that a bra is a,clothing.,bra,clothing,26,-1,"(-11.472602844238281, -5.736301422119141, [-7.650634765625, -3.8219680786132812])",124439808,gpt2
It is true that a shoe is a,clothing.,shoe,clothing,27,1,"(-10.809700012207031, -5.404850006103516, [-8.571220397949219, -2.2384796142578125])",124439808,gpt2
It is false that a shoe is a,clothing.,shoe,clothing,27,-1,"(-10.940788269042969, -5.470394134521484, [-8.801376342773438, -2.1394119262695312])",124439808,gpt2
It is true that a tuxedo is a,clothing.,tuxedo,clothing,28,1,"(-11.7496337890625, -5.87481689453125, [-7.2474517822265625, -4.5021820068359375])",124439808,gpt2
It is false that a tuxedo is a,clothing.,tuxedo,clothing,28,-1,"(-11.071479797363281, -5.535739898681641, [-7.0370635986328125, -4.034416198730469])",124439808,gpt2
It is true that a stocking is a,clothing.,stocking,clothing,29,1,"(-11.989799499511719, -5.994899749755859, [-8.792755126953125, -3.1970443725585938])",124439808,gpt2
It is false that a stocking is a,clothing.,stocking,clothing,29,-1,"(-11.461067199707031, -5.730533599853516, [-8.666366577148438, -2.7947006225585938])",124439808,gpt2
It is true that a vest is a,clothing.,vest,clothing,30,1,"(-11.252586364746094, -5.626293182373047, [-7.933937072753906, -3.3186492919921875])",124439808,gpt2
It is false that a vest is a,clothing.,vest,clothing,30,-1,"(-11.1483154296875, -5.57415771484375, [-8.205032348632812, -2.9432830810546875])",124439808,gpt2
It is true that a nylon is a,clothing.,nylon,clothing,31,1,"(-14.377296447753906, -7.188648223876953, [-10.294334411621094, -4.0829620361328125])",124439808,gpt2
It is false that a nylon is a,clothing.,nylon,clothing,31,-1,"(-12.573249816894531, -6.286624908447266, [-9.395912170410156, -3.177337646484375])",124439808,gpt2
It is true that a cape is a,clothing.,cape,clothing,32,1,"(-11.627937316894531, -5.813968658447266, [-8.136016845703125, -3.4919204711914062])",124439808,gpt2
It is false that a cape is a,clothing.,cape,clothing,32,-1,"(-12.007408142089844, -6.003704071044922, [-8.6265869140625, -3.3808212280273438])",124439808,gpt2
It is true that a boot is a,clothing.,boot,clothing,33,1,"(-13.817901611328125, -6.9089508056640625, [-10.80517578125, -3.012725830078125])",124439808,gpt2
It is false that a boot is a,clothing.,boot,clothing,33,-1,"(-14.2762451171875, -7.13812255859375, [-11.472320556640625, -2.803924560546875])",124439808,gpt2
It is true that a sandal is a,clothing.,sandal,clothing,34,1,"(-13.173797607421875, -6.5868988037109375, [-9.635520935058594, -3.5382766723632812])",124439808,gpt2
It is false that a sandal is a,clothing.,sandal,clothing,34,-1,"(-12.453704833984375, -6.2268524169921875, [-9.516853332519531, -2.9368515014648438])",124439808,gpt2
It is true that a tie is a,clothing.,tie,clothing,35,1,"(-14.44952392578125, -7.224761962890625, [-10.518943786621094, -3.9305801391601562])",124439808,gpt2
It is false that a tie is a,clothing.,tie,clothing,35,-1,"(-14.821037292480469, -7.410518646240234, [-10.825149536132812, -3.9958877563476562])",124439808,gpt2
It is true that a girdle is a,clothing.,girdle,clothing,36,1,"(-12.9659423828125, -6.48297119140625, [-8.879280090332031, -4.086662292480469])",124439808,gpt2
