pa, pp, ta, tp
the lawyer accepted the guitar .,the guitar was accepted by the lawyer .,a scientist tastes a meal .,a meal is tasted by a scientist .
a chief destroys an actor .,an actor is destroyed by a chief .,the employer drank the coffee .,the coffee was drunk by the employer .
the student drank the juice .,the juice was drunk by the student .,a lawyer smells a television .,a television is smelled by a lawyer .
the husband wraps the bottle .,the bottle is wrapped by the husband .,a candidate discovered a partner .,a partner was discovered by a candidate .
the physician forgets the coffee .,the coffee is forgotten by the physician .,an army kept a salad .,a salad was kept by an army .
the prince smells the salad .,the salad is smelled by the prince .,a wife kissed a man .,a man was kissed by a wife .
a priest punches a reader .,a reader is punched by a priest .,the wife protected the woman .,the woman was protected by the wife .
the pilot comforted the woman .,the woman was comforted by the pilot .,a guest chases an aunt .,an aunt is chased by a guest .
the reader judged the administration .,the administration was judged by the reader .,a girl kisses an employer .,an employer is kissed by a girl .
the leader smells the chicken .,the chicken is smelled by the leader .,a parent discovered a partner .,a partner was discovered by a parent .
an uncle broke a gun .,a gun was broken by an uncle .,the captain removes the hat .,the hat is removed by the captain .
the pilot carried the chicken .,the chicken was carried by the pilot .,an aunt kills a boy .,a boy is killed by an aunt .
the cop dragged the plate .,the plate was dragged by the cop .,a doctor punches a champion .,a champion is punched by a doctor .
an attorney asks a company .,a company is asked by an attorney .,the employee joined the administration .,the administration was joined by the employee .
the father wrapped the iron .,the iron was wrapped by the father .,a girl removes a telephone .,a telephone is removed by a girl .
a guest selects a pie .,a pie is selected by a guest .,the champion discovered the candy .,the candy was discovered by the champion .
a professor broke a coat .,a coat was broken by a professor .,the pilot grabs the captain .,the captain is grabbed by the pilot .
the pilot comforts the child .,the child is comforted by the pilot .,a hero broke a box .,a box was broken by a hero .
a king grabbed a chocolate .,a chocolate was grabbed by a king .,the friend breaks the hat .,the hat is broken by the friend .
an uncle purchased a chicken .,a chicken was purchased by an uncle .,the son describes the salad .,the salad is described by the son .
a doctor washes a pilot .,a pilot is washed by a doctor .,the daughter protected the mother .,the mother was protected by the daughter .
the teacher chased the administration .,the administration was chased by the teacher .,a lawyer forgives a company .,a company is forgiven by a lawyer .
a worker describes a salad .,a salad is described by a worker .,the author judged the company .,the company was judged by the author .
the uncle hurts the lawyer .,the lawyer is hurt by the uncle .,a manager chased an author .,an author was chased by a manager .
a lady killed a guy .,a guy was killed by a lady .,the physician leads the club .,the club is led by the physician .
the brother describes the beer .,the beer is described by the brother .,a candidate accepted a bell .,a bell was accepted by a candidate .
the parent tastes the meal .,the meal is tasted by the parent .,a doctor raised a tea .,a tea was raised by a doctor .
the parent asks the administration .,the administration is asked by the parent .,a cop killed a guy .,a guy was killed by a cop .
a singer discovers a prince .,a prince is discovered by a singer .,the employee forgave the champion .,the champion was forgiven by the employee .
a champion wrapped a camera .,a camera was wrapped by a champion .,the boy grabs the hat .,the hat is grabbed by the boy .
the man discovered the tea .,the tea was discovered by the man .,an attorney joins a parent .,a parent is joined by an attorney .
a worker drags a jacket .,a jacket is dragged by a worker .,the girl surprised the scientist .,the scientist was surprised by the girl .
a chief kills a minister .,a minister is killed by a chief .,the actor removed the bottle .,the bottle was removed by the actor .
the reader led the club .,the club was led by the reader .,a cop smells a coffee .,a coffee is smelled by a cop .
the uncle collects the bowl .,the bowl is collected by the uncle .,a lawyer caught a tea .,a tea was caught by a lawyer .
a mother beat a mayor .,a mayor was beaten by a mother .,the student carries the meal .,the meal is carried by the student .
a worker bothered an administration .,an administration was bothered by a worker .,the student prepares the iron .,the iron is prepared by the student .
the adult destroyed the candy .,the candy was destroyed by the adult .,a captain forgives an administration .,an administration is forgiven by a captain .
an actor removes a television .,a television is removed by an actor .,the army used the hat .,the hat was used by the army .
the actor taught the reader .,the reader was taught by the actor .,a woman hurries a lady .,a lady is hurried by a woman .
the president dragged the jacket .,the jacket was dragged by the president .,a soldier follows a corporation .,a corporation is followed by a soldier .
a student left a television .,a television was left by a student .,the boy selects the knife .,the knife is selected by the boy .
the author surprised the king .,the king was surprised by the author .,a sheriff hurts a business .,a business is hurt by a sheriff .
a scientist hurried a worker .,a worker was hurried by a scientist .,the prince uses the camera .,the camera is used by the prince .
the actress judges the king .,the king is judged by the actress .,a band helped a partner .,a partner was helped by a band .
a club kept a meal .,a meal was kept by a club .,the secretary helps the candidate .,the candidate is helped by the secretary .
a chief kissed a brother .,a brother was kissed by a chief .,the prince wraps the motor .,the motor is wrapped by the prince .
a parent forgives a corporation .,a corporation is forgiven by a parent .,the priest kissed the brother .,the brother was kissed by the priest .
a manager forgave a corporation .,a corporation was forgiven by a manager .,the minister removes the bowl .,the bowl is removed by the minister .
the buddy understood the soldier .,the soldier was understood by the buddy .,a kid joins a student .,a student is joined by a kid .
a captain collected a computer .,a computer was collected by a captain .,the soldier raises the beer .,the beer is raised by the soldier .
the teacher carried the cup .,the cup was carried by the teacher .,a bishop wraps a telephone .,a telephone is wrapped by a bishop .
the parent forgives the army .,the army is forgiven by the parent .,a candidate collected a chicken .,a chicken was collected by a candidate .
a lady forgives a professor .,a professor is forgiven by a lady .,the father killed the buddy .,the buddy was killed by the father .
a singer leads a corporation .,a corporation is led by a singer .,the son accepted the cup .,the cup was accepted by the son .
an attorney eats a meal .,a meal is eaten by an attorney .,the employer chased the club .,the club was chased by the employer .
an employee accepts a cup .,a cup is accepted by an employee .,the daughter selected the cheese .,the cheese was selected by the daughter .
the mother drank the tea .,the tea was drunk by the mother .,an administration wants a card .,a card is wanted by an administration .
the scientist removes the coat .,the coat is removed by the scientist .,a father punched a minister .,a minister was punched by a father .
the manager describes the iron .,the iron is described by the manager .,a candidate bothered a club .,a club was bothered by a candidate .
the cousin carries the cheese .,the cheese is carried by the cousin .,a colonel led an administration .,an administration was led by a colonel .
the adult breaks the book .,the book is broken by the adult .,a lawyer dragged a pilot .,a pilot was dragged by a lawyer .
the writer helped the candidate .,the candidate was helped by the writer .,a minister kisses an adult .,an adult is kissed by a minister .
the reader bothered the candidate .,the candidate was bothered by the reader .,an adult embraces a priest .,a priest is embraced by an adult .
the student tastes the cheese .,the cheese is tasted by the student .,a winner understood a pilot .,a pilot was understood by a winner .
a priest drags a buddy .,a buddy is dragged by a priest .,the parent destroyed the salad .,the salad was destroyed by the parent .
a secretary broke a jacket .,a jacket was broken by a secretary .,the captain judges the attorney .,the attorney is judged by the captain .
an administration purchased a salad .,a salad was purchased by an administration .,the child discovers the beer .,the beer is discovered by the child .
an aunt punches an employee .,an employee is punched by an aunt .,the lady hurried the captain .,the captain was hurried by the lady .
the mayor forgets the chicken .,the chicken is forgotten by the mayor .,a professor led a corporation .,a corporation was led by a professor .
a teacher follows a corporation .,a corporation is followed by a teacher .,the boy described the hat .,the hat was described by the boy .
the champion raised the wire .,the wire was raised by the champion .,a worker eats a chocolate .,a chocolate is eaten by a worker .
a priest wanted a bell .,a bell was wanted by a priest .,the aunt eats the pie .,the pie is eaten by the aunt .
the lawyer tasted the meal .,the meal was tasted by the lawyer .,a physician raises a cheese .,a cheese is raised by a physician .
an actor comforts a minister .,a minister is comforted by an actor .,the champion struck the student .,the student was struck by the champion .
the candidate hurts the actress .,the actress is hurt by the candidate .,a cousin led a corporation .,a corporation was led by a cousin .
a corporation wanted a guitar .,a guitar was wanted by a corporation .,the opponent beats the student .,the student is beaten by the opponent .
a partner accepted a book .,a book was accepted by a partner .,the kid joins the sheriff .,the sheriff is joined by the kid .
the colonel broke the ball .,the ball was broken by the colonel .,a husband drags a key .,a key is dragged by a husband .
a wife judges a company .,a company is judged by a wife .,the sheriff smelled the juice .,the juice was smelled by the sheriff .
the author washes the bell .,the bell is washed by the author .,a nurse punched an attorney .,an attorney was punched by a nurse .
the doctor described the pie .,the pie was described by the doctor .,a lady understands a daughter .,a daughter is understood by a lady .
a pilot breaks an engine .,an engine is broken by a pilot .,the aunt prepared the bowl .,the bowl was prepared by the aunt .
a nurse grabbed a pie .,a pie was grabbed by a nurse .,the teacher describes the instrument .,the instrument is described by the teacher .
the mother understands the employer .,the employer is understood by the mother .,a reader joined an army .,an army was joined by a reader .
the husband strikes the child .,the child is struck by the husband .,a teacher forgot a coffee .,a coffee was forgotten by a teacher .
a professor beat a physician .,a physician was beaten by a professor .,the secretary describes the daughter .,the daughter is described by the secretary .
the adult follows the cop .,the cop is followed by the adult .,a champion described a winner .,a winner was described by a champion .
the author removes the pot .,the pot is removed by the author .,an actor carried a father .,a father was carried by an actor .
a singer describes an employer .,an employer is described by a singer .,the partner taught the reader .,the reader was taught by the partner .
the king embraced the lawyer .,the lawyer was embraced by the king .,a priest forgives a buddy .,a buddy is forgiven by a priest .
the actor removes the box .,the box is removed by the actor .,a king prepared a chicken .,a chicken was prepared by a king .
the teacher left the computer .,the computer was left by the teacher .,a mayor accepts a bag .,a bag is accepted by a mayor .
the club helped the hero .,the hero was helped by the club .,a colonel removes a jacket .,a jacket is removed by a colonel .
a soldier ate a meal .,a meal was eaten by a soldier .,the woman embraces the bishop .,the bishop is embraced by the woman .
the buddy prepared the juice .,the juice was prepared by the buddy .,an administration wants an instrument .,an instrument is wanted by an administration .
a writer forgave a cousin .,a cousin was forgiven by a writer .,the employee grabs the telephone .,the telephone is grabbed by the employee .
a hero breaks a pot .,a pot is broken by a hero .,the business helped the daughter .,the daughter was helped by the business .
a lawyer broke a glass .,a glass was broken by a lawyer .,the manager hurts the daughter .,the daughter is hurt by the manager .
a priest followed a band .,a band was followed by a priest .,the soldier eats the candy .,the candy is eaten by the soldier .
a reader joined a president .,a president was joined by a reader .,the friend drinks the beer .,the beer is drunk by the friend .
a teacher teaches a writer .,a writer is taught by a teacher .,the employee asked the company .,the company was asked by the employee .
a mother drinks a tea .,a tea is drunk by a mother .,the scientist smelled the meal .,the meal was smelled by the scientist .
a hero surprised a mother .,a mother was surprised by a hero .,the guy comforts the doctor .,the doctor is comforted by the guy .
the adult grabbed the juice .,the juice was grabbed by the adult .,a teacher washes an instrument .,an instrument is washed by a teacher .
the guest punched the manager .,the manager was punched by the guest .,a king forgives an army .,an army is forgiven by a king .
a father raises a pie .,a pie is raised by a father .,the wife prepared the candy .,the candy was prepared by the wife .
an employer killed a friend .,a friend was killed by an employer .,the doctor punches the uncle .,the uncle is punched by the doctor .
a champion wanted a pie .,a pie was wanted by a champion .,the worker wraps the box .,the box is wrapped by the worker .
the captain left the bowl .,the bowl was left by the captain .,a kid chases an author .,an author is chased by a kid .
the parent joins the corporation .,the corporation is joined by the parent .,a husband washed a bell .,a bell was washed by a husband .
the bishop broke the camera .,the camera was broken by the bishop .,an actor embraces a mother .,a mother is embraced by an actor .
an employer follows a band .,a band is followed by an employer .,the pilot collected the cheese .,the cheese was collected by the pilot .
the manager judged the pilot .,the pilot was judged by the manager .,a daughter washes a card .,a card is washed by a daughter .
a daughter forgets a crystal .,a crystal is forgotten by a daughter .,the priest broke the cup .,the cup was broken by the priest .
a pilot describes a hat .,a hat is described by a pilot .,the winner killed the uncle .,the uncle was killed by the winner .
a leader keeps a juice .,a juice is kept by a leader .,the physician joined the business .,the business was joined by the physician .
the wife accepted the machine .,the machine was accepted by the wife .,a leader prepares a pie .,a pie is prepared by a leader .
the actor hurts the corporation .,the corporation is hurt by the actor .,a friend wrapped a newspaper .,a newspaper was wrapped by a friend .
the professor kissed the winner .,the winner was kissed by the professor .,a husband understands a buddy .,a buddy is understood by a husband .
the princess kept the log .,the log was kept by the princess .,a reader chases a company .,a company is chased by a reader .
the wife forgives the attorney .,the attorney is forgiven by the wife .,a student helped a father .,a father was helped by a student .
the colonel washes the chief .,the chief is washed by the colonel .,a priest hurried a sheriff .,a sheriff was hurried by a priest .
a mayor joins a business .,a business is joined by a mayor .,the cousin chased the worker .,the worker was chased by the cousin .
a mother judged a reader .,a reader was judged by a mother .,the boy raises the juice .,the juice is raised by the boy .
the pilot catches the chicken .,the chicken is caught by the pilot .,a guy followed a partner .,a partner was followed by a guy .
a winner wrapped a card .,a card was wrapped by a winner .,the guy uses the instrument .,the instrument is used by the guy .
the minister asked the captain .,the captain was asked by the minister .,a professor prepares a gun .,a gun is prepared by a professor .
a student bothers an army .,an army is bothered by a student .,the king smelled the pie .,the pie was smelled by the king .
the daughter prepares the chocolate .,the chocolate is prepared by the daughter .,a lawyer forgave an author .,an author was forgiven by a lawyer .
the buddy punched the champion .,the champion was punched by the buddy .,a husband eats a salad .,a salad is eaten by a husband .
the captain forgot the reader .,the reader was forgotten by the captain .,a buddy punches a king .,a king is punched by a buddy .
the candidate tasted the cheese .,the cheese was tasted by the candidate .,a company helps an employee .,an employee is helped by a company .
the mayor purchases the button .,the button is purchased by the mayor .,a teacher protected a guest .,a guest was protected by a teacher .
a physician keeps a beer .,a beer is kept by a physician .,the guy used the box .,the box was used by the guy .
the guy smells the cheese .,the cheese is smelled by the guy .,a prince described a tea .,a tea was described by a prince .
an actress followed a guest .,a guest was followed by an actress .,the boy embraces the princess .,the princess is embraced by the boy .
the sheriff collected the salad .,the salad was collected by the sheriff .,a lady understands a kid .,a kid is understood by a lady .
the daughter surprises the uncle .,the uncle is surprised by the daughter .,a mayor helped a singer .,a singer was helped by a mayor .
the actor prepares the beer .,the beer is prepared by the actor .,a captain used a telephone .,a telephone was used by a captain .
the singer forgot the box .,the box was forgotten by the singer .,a captain wants an engine .,an engine is wanted by a captain .
a daughter accepts a computer .,a computer is accepted by a daughter .,the worker beat the employee .,the employee was beaten by the worker .
a president kissed an actress .,an actress was kissed by a president .,the captain tastes the meal .,the meal is tasted by the captain .
a hero kept a candy .,a candy was kept by a hero .,the pilot leads the company .,the company is led by the pilot .
the champion joined the band .,the band was joined by the champion .,a friend chases a company .,a company is chased by a friend .
the professor destroys the flower .,the flower is destroyed by the professor .,a pilot asked a company .,a company was asked by a pilot .
the soldier forgets the jacket .,the jacket is forgotten by the soldier .,a doctor dragged an employee .,an employee was dragged by a doctor .
the manager bothers the captain .,the captain is bothered by the manager .,a man punched a partner .,a partner was punched by a man .
a student chased a corporation .,a corporation was chased by a student .,the attorney wraps the telephone .,the telephone is wrapped by the attorney .
the doctor forgives the corporation .,the corporation is forgiven by the doctor .,an attorney carried a card .,a card was carried by an attorney .
an uncle wrapped a machine .,a machine was wrapped by an uncle .,the army wants the television .,the television is wanted by the army .
the physician wants the juice .,the juice is wanted by the physician .,a father kissed a wife .,a wife was kissed by a father .
a cop caught a secretary .,a secretary was caught by a cop .,the professor hurts the corporation .,the corporation is hurt by the professor .
the priest raised the coffee .,the coffee was raised by the priest .,a brother bothers a corporation .,a corporation is bothered by a brother .
the army wants the ball .,the ball is wanted by the army .,a sheriff drank a coffee .,a coffee was drunk by a sheriff .
a man prepared a candy .,a candy was prepared by a man .,the colonel kisses the author .,the author is kissed by the colonel .
the adult leaves the instrument .,the instrument is left by the adult .,a president dragged a book .,a book was dragged by a president .
an aunt smells a log .,a log is smelled by an aunt .,the daughter beat the adult .,the adult was beaten by the daughter .
a leader catches a pilot .,a pilot is caught by a leader .,the bishop tasted the chicken .,the chicken was tasted by the bishop .
the professor removed the newspaper .,the newspaper was removed by the professor .,a worker carries a cup .,a cup is carried by a worker .
the daughter kisses the kid .,the kid is kissed by the daughter .,a hero drank a tea .,a tea was drunk by a hero .
the mayor leads the club .,the club is led by the mayor .,a doctor removed a gun .,a gun was removed by a doctor .
a worker understands a guy .,a guy is understood by a worker .,the friend collected the beer .,the beer was collected by the friend .
the uncle struck the chief .,the chief was struck by the uncle .,a friend leads a band .,a band is led by a friend .
the bishop washed the minister .,the minister was washed by the bishop .,a doctor removes a crystal .,a crystal is removed by a doctor .
the army kept the chocolate .,the chocolate was kept by the army .,a mayor uses a guitar .,a guitar is used by a mayor .
a girl discovers a singer .,a singer is discovered by a girl .,the husband punched the captain .,the captain was punched by the husband .
the cop kissed the physician .,the physician was kissed by the cop .,a son punches an uncle .,an uncle is punched by a son .
the champion smelled the cheese .,the cheese was smelled by the champion .,a teacher joins a kid .,a kid is joined by a teacher .
the professor purchased the glass .,the glass was purchased by the professor .,a child selects a meal .,a meal is selected by a child .
the secretary selects the tea .,the tea is selected by the secretary .,a buddy ate a cheese .,a cheese was eaten by a buddy .
the scientist comforts the uncle .,the uncle is comforted by the scientist .,a winner followed a business .,a business was followed by a winner .
a physician tastes a chicken .,a chicken is tasted by a physician .,the priest described the juice .,the juice was described by the priest .
an actor accepts a pot .,a pot is accepted by an actor .,the friend left the cigarette .,the cigarette was left by the friend .
a pilot hurried an actor .,an actor was hurried by a pilot .,the father asks the doctor .,the doctor is asked by the father .
a company wanted a beer .,a beer was wanted by a company .,the army purchases the salad .,the salad is purchased by the army .
the wife catches the cheese .,the cheese is caught by the wife .,a parent washed a singer .,a singer was washed by a parent .
a professor surprised a worker .,a worker was surprised by a professor .,the mother prepares the coat .,the coat is prepared by the mother .
the corporation wanted the camera .,the camera was wanted by the corporation .,a captain wraps a telephone .,a telephone is wrapped by a captain .
the physician eats the chicken .,the chicken is eaten by the physician .,a president hurried a kid .,a kid was hurried by a president .
the partner killed the pilot .,the pilot was killed by the partner .,a guest forgives a band .,a band is forgiven by a guest .
the opponent ate the pie .,the pie was eaten by the opponent .,a physician judges a club .,a club is judged by a physician .
a parent carried a winner .,a winner was carried by a parent .,the woman bothers the company .,the company is bothered by the woman .
the partner led the army .,the army was led by the partner .,a doctor smells a salad .,a salad is smelled by a doctor .
the woman judged the parent .,the parent was judged by the woman .,a candidate leads a company .,a company is led by a candidate .
the president removes the wire .,the wire is removed by the president .,a club helped a woman .,a woman was helped by a club .
a pilot embraced a princess .,a princess was embraced by a pilot .,the worker breaks the flower .,the flower is broken by the worker .
the professor keeps the tea .,the tea is kept by the professor .,a princess bothered a man .,a man was bothered by a princess .
an administration kept a salad .,a salad was kept by an administration .,the soldier destroys the meal .,the meal is destroyed by the soldier .
the teacher kisses the reader .,the reader is kissed by the teacher .,a boy understood a girl .,a girl was understood by a boy .
an army kept a camera .,a camera was kept by an army .,the leader accepts the motor .,the motor is accepted by the leader .
a minister follows a buddy .,a buddy is followed by a minister .,the prince tasted the chocolate .,the chocolate was tasted by the prince .
an actress embraces a doctor .,a doctor is embraced by an actress .,the cousin forgot the cup .,the cup was forgotten by the cousin .
a boy teaches a chief .,a chief is taught by a boy .,the company protected the physician .,the physician was protected by the company .
a student removed a camera .,a camera was removed by a student .,the wife grabs the tea .,the tea is grabbed by the wife .
a writer surprised a pilot .,a pilot was surprised by a writer .,the parent understands the lawyer .,the lawyer is understood by the parent .
the employer understands the wife .,the wife is understood by the employer .,a lawyer struck a kid .,a kid was struck by a lawyer .
the brother grabs the crystal .,the crystal is grabbed by the brother .,a colonel embraced a girl .,a girl was embraced by a colonel .
a king removes a bell .,a bell is removed by a king .,the writer punched the employee .,the employee was punched by the writer .
the prince drinks the beer .,the beer is drunk by the prince .,a manager forgot a girl .,a girl was forgotten by a manager .
the lady surprises the son .,the son is surprised by the lady .,a teacher prepared a pie .,a pie was prepared by a teacher .
the physician followed the business .,the business was followed by the physician .,a wife bothers an author .,an author is bothered by a wife .
an attorney discovers a guest .,a guest is discovered by an attorney .,the professor tasted the meal .,the meal was tasted by the professor .
the buddy judges the father .,the father is judged by the buddy .,a writer removed an engine .,an engine was removed by a writer .
the child killed the secretary .,the secretary was killed by the child .,a mayor smells a pie .,a pie is smelled by a mayor .
a physician forgets an adult .,an adult is forgotten by a physician .,the chief purchased the instrument .,the instrument was purchased by the chief .
a champion kisses a soldier .,a soldier is kissed by a champion .,the doctor taught the girl .,the girl was taught by the doctor .
an uncle forgot a box .,a box was forgotten by an uncle .,the guest leads the corporation .,the corporation is led by the guest .
the writer taught the attorney .,the attorney was taught by the writer .,an army wants a television .,a television is wanted by an army .
a guy described a doctor .,a doctor was described by a guy .,the sheriff forgets the tea .,the tea is forgotten by the sheriff .
the sheriff drags the king .,the king is dragged by the sheriff .,a husband accepted a ball .,a ball was accepted by a husband .
the teacher collects the juice .,the juice is collected by the teacher .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the sheriff comforted the king .,the king was comforted by the sheriff .,an author surprises a lawyer .,a lawyer is surprised by an author .
the captain hurries the professor .,the professor is hurried by the captain .,a priest protected a worker .,a worker was protected by a priest .
a winner protected a singer .,a singer was protected by a winner .,the priest joins the attorney .,the attorney is joined by the priest .
the chief raised the juice .,the juice was raised by the chief .,a professor wants a pot .,a pot is wanted by a professor .
the actress punched the president .,the president was punched by the actress .,a writer selects an engine .,an engine is selected by a writer .
a soldier comforts a girl .,a girl is comforted by a soldier .,the prince taught the parent .,the parent was taught by the prince .
the champion protects the priest .,the priest is protected by the champion .,a boy tasted a pie .,a pie was tasted by a boy .
a chief followed a corporation .,a corporation was followed by a chief .,the brother forgives the husband .,the husband is forgiven by the brother .
a manager tasted a cheese .,a cheese was tasted by a manager .,the physician describes the pie .,the pie is described by the physician .
an army wants a flower .,a flower is wanted by an army .,the cousin raised the beer .,the beer was raised by the cousin .
a husband punched an uncle .,an uncle was punched by a husband .,the winner carries the iron .,the iron is carried by the winner .
a physician taught a minister .,a minister was taught by a physician .,the buddy selects the pot .,the pot is selected by the buddy .
a bishop beats a soldier .,a soldier is beaten by a bishop .,the mayor left the plate .,the plate was left by the mayor .
the attorney helps the bishop .,the bishop is helped by the attorney .,a pilot bothered an administration .,an administration was bothered by a pilot .
the president raised the lady .,the lady was raised by the president .,a cousin leads a business .,a business is led by a cousin .
a candidate hurt a club .,a club was hurt by a candidate .,the captain selects the child .,the child is selected by the captain .
a wife forgave an army .,an army was forgiven by a wife .,the minister discovers the coffee .,the coffee is discovered by the minister .
the professor struck the cousin .,the cousin was struck by the professor .,a cop judges a husband .,a husband is judged by a cop .
an uncle chases a father .,a father is chased by an uncle .,the colonel hurt the band .,the band was hurt by the colonel .
