ppo, pdo, tpo, tdo
an author gave a salad to a professor .,an author gave a professor a salad .,the nurse caught the telephone for the physician .,the nurse caught the physician the telephone .
the nurse bought the juice for the professor .,the nurse bought the professor the juice .,a worker supplied a tea to a club .,a worker supplied a club a tea .
a buddy found a meal for a scientist .,a buddy found a scientist a meal .,the lady promised the coffee to the uncle .,the lady promised the uncle the coffee .
a sheriff promised a tea to a worker .,a sheriff promised a worker a tea .,the actress made the plate for the band .,the actress made the band the plate .
a guest sold a coffee to a son .,a guest sold a son a coffee .,the guy found the pie for the sheriff .,the guy found the sheriff the pie .
the mayor took the cup to the brother .,the mayor took the brother the cup .,an author purchased a salad for a buddy .,an author purchased a buddy a salad .
the son took the camera to the priest .,the son took the priest the camera .,a woman found a tea for an opponent .,a woman found an opponent a tea .
a student supplied a juice to a business .,a student supplied a business a juice .,the boy bought the guitar for the worker .,the boy bought the worker the guitar .
the prince drew the glass for the army .,the prince drew the army the glass .,an adult fed a pie to a priest .,an adult fed a priest a pie .
a nurse supplied an instrument to a manager .,a nurse supplied a manager an instrument .,the reader bought the bell for the captain .,the reader bought the captain the bell .
the husband fed the cheese to the opponent .,the husband fed the opponent the cheese .,a corporation designed a telephone for a club .,a corporation designed a club a telephone .
the corporation designed the crystal for the club .,the corporation designed the club the crystal .,a singer threw a candy to a parent .,a singer threw a parent a candy .
a professor supplied a chocolate to an army .,a professor supplied an army a chocolate .,the physician saved the book for the lady .,the physician saved the lady the book .
a teacher took a wire to a captain .,a teacher took a captain a wire .,the physician caught the bell for the kid .,the physician caught the kid the bell .
the champion supplied the candy to the captain .,the champion supplied the captain the candy .,a scientist bought a cheese for an actress .,a scientist bought an actress a cheese .
a reader showed a knife to a colonel .,a reader showed a colonel a knife .,the nurse kept the pie for the band .,the nurse kept the band the pie .
the hero fed the meal to the leader .,the hero fed the leader the meal .,a boy purchased a beer for a husband .,a boy purchased a husband a beer .
a winner kept a coat for a daughter .,a winner kept a daughter a coat .,the man threw the camera to the lawyer .,the man threw the lawyer the camera .
a kid brought a tea to a nurse .,a kid brought a nurse a tea .,the husband purchased the pie for the business .,the husband purchased the business the pie .
the woman promised the computer to the boy .,the woman promised the boy the computer .,an adult drew a gun for an aunt .,an adult drew an aunt a gun .
a singer threw a guitar to a wife .,a singer threw a wife a guitar .,the company designed the television for the administration .,the company designed the administration the television .
the employer supplied the meal to the army .,the employer supplied the army the meal .,a partner designed a computer for a lady .,a partner designed a lady a computer .
the singer purchased the chocolate for the son .,the singer purchased the son the chocolate .,a man sent a juice to an administration .,a man sent an administration a juice .
a lady got a motor for a soldier .,a lady got a soldier a motor .,the minister threw the juice to the reader .,the minister threw the reader the juice .
a teacher gave a beer to a company .,a teacher gave a company a beer .,the prince made the ball for the administration .,the prince made the administration the ball .
a captain fed a cheese to a pilot .,a captain fed a pilot a cheese .,the reader delivered the beer for the daughter .,the reader delivered the daughter the beer .
the adult gave the candy to the corporation .,the adult gave the corporation the candy .,a singer purchased a coffee for a captain .,a singer purchased a captain a coffee .
the daughter kept the ball for the corporation .,the daughter kept the corporation the ball .,a chief fed a pie to a partner .,a chief fed a partner a pie .
the mother drew the telephone for the champion .,the mother drew the champion the telephone .,a scientist showed a tea to a corporation .,a scientist showed a corporation a tea .
a father found a coat for a club .,a father found a club a coat .,the hero took the guitar to the lady .,the hero took the lady the guitar .
the sheriff promised the beer to the hero .,the sheriff promised the hero the beer .,a singer bought a coat for a doctor .,a singer bought a doctor a coat .
a man bought a candy for a guy .,a man bought a guy a candy .,the nurse gave the tea to the author .,the nurse gave the author the tea .
a physician kept a chocolate for a child .,a physician kept a child a chocolate .,the cousin sent the box to the princess .,the cousin sent the princess the box .
the colonel delivered the coffee for the leader .,the colonel delivered the leader the coffee .,a buddy sold a bowl to an actor .,a buddy sold an actor a bowl .
the friend promised the chocolate to the actor .,the friend promised the actor the chocolate .,a winner caught a log for a princess .,a winner caught a princess a log .
a son got a bowl for a candidate .,a son got a candidate a bowl .,the singer threw the juice to the king .,the singer threw the king the juice .
a teacher found a knife for an employer .,a teacher found an employer a knife .,the colonel threw the tea to the leader .,the colonel threw the leader the tea .
a mother found a chocolate for an army .,a mother found an army a chocolate .,the writer showed the coffee to the administration .,the writer showed the administration the coffee .
the priest fed the chocolate to the kid .,the priest fed the kid the chocolate .,a manager made a key for a girl .,a manager made a girl a key .
the nurse took the box to the adult .,the nurse took the adult the box .,a corporation designed a flower for a company .,a corporation designed a company a flower .
the cop made the telephone for the son .,the cop made the son the telephone .,a lady promised a juice to a prince .,a lady promised a prince a juice .
a cop brought a meal to a company .,a cop brought a company a meal .,the worker designed the cigarette for the king .,the worker designed the king the cigarette .
a corporation designed an iron for a business .,a corporation designed a business an iron .,the daughter supplied the chocolate to the band .,the daughter supplied the band the chocolate .
the opponent fed the meal to the brother .,the opponent fed the brother the meal .,a business designed a plate for a club .,a business designed a club a plate .
a daughter promised a crystal to a lady .,a daughter promised a lady a crystal .,the friend found the salad for the band .,the friend found the band the salad .
the father purchased the bell for the brother .,the father purchased the brother the bell .,a writer fed a pie to a lady .,a writer fed a lady a pie .
a girl threw a chocolate to an opponent .,a girl threw an opponent a chocolate .,the captain bought the chicken for the prince .,the captain bought the prince the chicken .
the actor gave the chocolate to the bishop .,the actor gave the bishop the chocolate .,a teacher made a wire for a corporation .,a teacher made a corporation a wire .
a scientist supplied a beer to a company .,a scientist supplied a company a beer .,the mother delivered the tea for the reader .,the mother delivered the reader the tea .
a sheriff saved a cheese for an employer .,a sheriff saved an employer a cheese .,the reader showed the wire to the woman .,the reader showed the woman the wire .
a prince took a bag to a mayor .,a prince took a mayor a bag .,the son made the bell for the professor .,the son made the professor the bell .
the minister showed the pie to the aunt .,the minister showed the aunt the pie .,an army designed a bowl for a band .,an army designed a band a bowl .
a secretary fed a pie to a husband .,a secretary fed a husband a pie .,the actor designed the box for the colonel .,the actor designed the colonel the box .
the president threw the computer to the employer .,the president threw the employer the computer .,a guest got a box for a company .,a guest got a company a box .
a hero threw a pot to a father .,a hero threw a father a pot .,the teacher kept the candy for the partner .,the teacher kept the partner the candy .
the princess drew the plate for the physician .,the princess drew the physician the plate .,a son promised a pie to an actress .,a son promised an actress a pie .
the partner brought the chocolate to the guest .,the partner brought the guest the chocolate .,an adult kept a card for a band .,an adult kept a band a card .
the buddy threw the bottle to the husband .,the buddy threw the husband the bottle .,a business designed a knife for an administration .,a business designed an administration a knife .
a bishop fed a cheese to a writer .,a bishop fed a writer a cheese .,the manager found the juice for the lady .,the manager found the lady the juice .
a bishop sold a juice to a company .,a bishop sold a company a juice .,the minister kept the ball for the army .,the minister kept the army the ball .
the son made the anchor for the business .,the son made the business the anchor .,a girl brought a plate to a club .,a girl brought a club a plate .
a sheriff fed a meal to a candidate .,a sheriff fed a candidate a meal .,the parent kept the chocolate for the king .,the parent kept the king the chocolate .
an author gave a computer to a band .,an author gave a band a computer .,the attorney saved the tea for the army .,the attorney saved the army the tea .
a sheriff threw a coat to a colonel .,a sheriff threw a colonel a coat .,the physician bought the log for the author .,the physician bought the author the log .
a hero threw a chocolate to a professor .,a hero threw a professor a chocolate .,the buddy bought the card for the cop .,the buddy bought the cop the card .
the president kept the salad for the singer .,the president kept the singer the salad .,a daughter fed a meal to a captain .,a daughter fed a captain a meal .
a writer promised a cup to a buddy .,a writer promised a buddy a cup .,the soldier got the machine for the chief .,the soldier got the chief the machine .
a chief sent a plate to a club .,a chief sent a club a plate .,the administration designed the telephone for the corporation .,the administration designed the corporation the telephone .
the girl fed the meal to the winner .,the girl fed the winner the meal .,a wife delivered a coffee for an uncle .,a wife delivered an uncle a coffee .
the actor promised the box to the bishop .,the actor promised the bishop the box .,a physician purchased a flower for a nurse .,a physician purchased a nurse a flower .
the mayor brought the wire to the club .,the mayor brought the club the wire .,an uncle drew a card for an army .,an uncle drew an army a card .
a company designed a plate for a business .,a company designed a business a plate .,the colonel fed the salad to the singer .,the colonel fed the singer the salad .
the cop sent the coffee to the band .,the cop sent the band the coffee .,a writer kept a meal for an army .,a writer kept an army a meal .
the cousin showed the chocolate to the captain .,the cousin showed the captain the chocolate .,a guy saved a coffee for a secretary .,a guy saved a secretary a coffee .
the student threw the beer to the father .,the student threw the father the beer .,a pilot made a wire for a band .,a pilot made a band a wire .
a worker caught a pot for a man .,a worker caught a man a pot .,the prince took the knife to the champion .,the prince took the champion the knife .
a soldier brought a plate to an actor .,a soldier brought an actor a plate .,the chief purchased the iron for the company .,the chief purchased the company the iron .
the guest delivered the computer for the adult .,the guest delivered the adult the computer .,an author fed a cheese to a doctor .,an author fed a doctor a cheese .
a friend gave a juice to an administration .,a friend gave an administration a juice .,the parent caught the cup for the author .,the parent caught the author the cup .
the champion kept the anchor for the army .,the champion kept the army the anchor .,an author brought a log to a business .,an author brought a business a log .
the cop showed the ball to the uncle .,the cop showed the uncle the ball .,a writer designed a telephone for a minister .,a writer designed a minister a telephone .
the sheriff caught the button for the secretary .,the sheriff caught the secretary the button .,a mother sent a juice to a king .,a mother sent a king a juice .
an opponent delivered a knife for a priest .,an opponent delivered a priest a knife .,the parent sold the juice to the worker .,the parent sold the worker the juice .
the cop supplied the candy to the boy .,the cop supplied the boy the candy .,a buddy drew a telephone for a business .,a buddy drew a business a telephone .
the prince sent the anchor to the army .,the prince sent the army the anchor .,a woman caught a computer for a priest .,a woman caught a priest a computer .
a daughter sold a cheese to a son .,a daughter sold a son a cheese .,the scientist made the gun for the minister .,the scientist made the minister the gun .
the captain promised the beer to the lawyer .,the captain promised the lawyer the beer .,an employee got a candy for a business .,an employee got a business a candy .
the guy supplied the glass to the priest .,the guy supplied the priest the glass .,a wife got a bag for a club .,a wife got a club a bag .
a buddy saved a juice for a company .,a buddy saved a company a juice .,the parent gave the pot to the cop .,the parent gave the cop the pot .
the student caught the television for the chief .,the student caught the chief the television .,a manager fed a chicken to a princess .,a manager fed a princess a chicken .
a buddy found a jacket for a mother .,a buddy found a mother a jacket .,the singer sold the newspaper to the administration .,the singer sold the administration the newspaper .
the secretary designed the pot for the son .,the secretary designed the son the pot .,a manager supplied a beer to a guest .,a manager supplied a guest a beer .
a scientist threw a key to a buddy .,a scientist threw a buddy a key .,the mayor kept the candy for the company .,the mayor kept the company the candy .
the wife bought the anchor for the bishop .,the wife bought the bishop the anchor .,a candidate sent a box to an administration .,a candidate sent an administration a box .
the son found the tea for the business .,the son found the business the tea .,a champion fed a cheese to a writer .,a champion fed a writer a cheese .
the woman purchased the anchor for the company .,the woman purchased the company the anchor .,a student supplied a chocolate to a worker .,a student supplied a worker a chocolate .
the uncle drew the glass for the army .,the uncle drew the army the glass .,a worker gave a television to a princess .,a worker gave a princess a television .
a prince left a chicken for a club .,a prince left a club a chicken .,the pilot sold the tea to the mother .,the pilot sold the mother the tea .
the kid bought the button for the scientist .,the kid bought the scientist the button .,a son gave a crystal to a club .,a son gave a club a crystal .
the employer caught the ball for the guy .,the employer caught the guy the ball .,a mayor promised a juice to a reader .,a mayor promised a reader a juice .
a reader took a log to a kid .,a reader took a kid a log .,the attorney saved the chocolate for the army .,the attorney saved the army the chocolate .
the manager gave the chicken to the candidate .,the manager gave the candidate the chicken .,a boy purchased a chocolate for a company .,a boy purchased a company a chocolate .
the scientist threw the meal to the girl .,the scientist threw the girl the meal .,a business designed a bowl for a corporation .,a business designed a corporation a bowl .
the scientist sold the salad to the band .,the scientist sold the band the salad .,a secretary delivered a juice for an author .,a secretary delivered an author a juice .
an actress bought a tea for a daughter .,an actress bought a daughter a tea .,the lady gave the beer to the corporation .,the lady gave the corporation the beer .
a soldier sent a juice to a physician .,a soldier sent a physician a juice .,the author bought the instrument for the buddy .,the author bought the buddy the instrument .
the aunt caught the book for the wife .,the aunt caught the wife the book .,a priest showed a knife to a singer .,a priest showed a singer a knife .
a girl threw a knife to a doctor .,a girl threw a doctor a knife .,the worker drew the television for the administration .,the worker drew the administration the television .
a father left a chicken for a chief .,a father left a chief a chicken .,the lawyer sent the pie to the corporation .,the lawyer sent the corporation the pie .
a boy promised a coffee to a friend .,a boy promised a friend a coffee .,the father saved the knife for the bishop .,the father saved the bishop the knife .
the soldier showed the machine to the club .,the soldier showed the club the machine .,a girl designed an anchor for a buddy .,a girl designed a buddy an anchor .
a champion got a tea for a wife .,a champion got a wife a tea .,the father supplied the beer to the business .,the father supplied the business the beer .
the wife sold the anchor to the professor .,the wife sold the professor the anchor .,a hero delivered a camera for a priest .,a hero delivered a priest a camera .
the wife caught the guitar for the aunt .,the wife caught the aunt the guitar .,a professor gave a tea to a business .,a professor gave a business a tea .
a scientist designed a jacket for a winner .,a scientist designed a winner a jacket .,the writer promised the coffee to the employer .,the writer promised the employer the coffee .
a candidate fed a salad to a singer .,a candidate fed a singer a salad .,the friend purchased the gun for the captain .,the friend purchased the captain the gun .
a singer sold a cigarette to an administration .,a singer sold an administration a cigarette .,the kid designed the cup for the man .,the kid designed the man the cup .
a wife threw a key to a princess .,a wife threw a princess a key .,the company designed the coat for the army .,the company designed the army the coat .
a minister promised a tea to a manager .,a minister promised a manager a tea .,the brother left the beer for the corporation .,the brother left the corporation the beer .
the bishop purchased the button for the king .,the bishop purchased the king the button .,a parent took a book to a cop .,a parent took a cop a book .
a doctor promised a coffee to an actor .,a doctor promised an actor a coffee .,the woman delivered the crystal for the soldier .,the woman delivered the soldier the crystal .
a kid made a flower for a corporation .,a kid made a corporation a flower .,the manager sent the guitar to the leader .,the manager sent the leader the guitar .
a wife got a computer for a brother .,a wife got a brother a computer .,the employer fed the meal to the lawyer .,the employer fed the lawyer the meal .
the candidate supplied the tea to the friend .,the candidate supplied the friend the tea .,a man kept a motor for a corporation .,a man kept a corporation a motor .
the employer promised the bottle to the son .,the employer promised the son the bottle .,a reader delivered a salad for a president .,a reader delivered a president a salad .
a parent caught a log for a brother .,a parent caught a brother a log .,the husband gave the pie to the prince .,the husband gave the prince the pie .
a son showed a glass to an administration .,a son showed an administration a glass .,the parent saved the chocolate for the army .,the parent saved the army the chocolate .
an actress designed a button for a mayor .,an actress designed a mayor a button .,the singer brought the tea to the employee .,the singer brought the employee the tea .
the teacher left the plate for the champion .,the teacher left the champion the plate .,a president gave a coffee to a company .,a president gave a company a coffee .
the worker sent the bowl to the cop .,the worker sent the cop the bowl .,a priest bought a candy for a friend .,a priest bought a friend a candy .
a scientist kept a tea for an army .,a scientist kept an army a tea .,the brother sent the bottle to the administration .,the brother sent the administration the bottle .
an administration designed a wire for a business .,an administration designed a business a wire .,the teacher fed the chicken to the friend .,the teacher fed the friend the chicken .
the administration designed the bag for the company .,the administration designed the company the bag .,a manager showed a book to a princess .,a manager showed a princess a book .
the kid sold the log to the manager .,the kid sold the manager the log .,a doctor delivered a plate for an actor .,a doctor delivered an actor a plate .
the buddy found the anchor for the hero .,the buddy found the hero the anchor .,a father brought a beer to a business .,a father brought a business a beer .
a buddy saved a pot for a corporation .,a buddy saved a corporation a pot .,the soldier took the ball to the son .,the soldier took the son the ball .
an actress saved a meal for a business .,an actress saved a business a meal .,the candidate sold the pie to the cop .,the candidate sold the cop the pie .
the opponent took the engine to the actor .,the opponent took the actor the engine .,a candidate designed a key for a kid .,a candidate designed a kid a key .
the child fed the pie to the reader .,the child fed the reader the pie .,a guy made a cigarette for a business .,a guy made a business a cigarette .
the reader brought the pie to the company .,the reader brought the company the pie .,a cop made a camera for an army .,a cop made an army a camera .
the opponent brought the cheese to the army .,the opponent brought the army the cheese .,a parent drew a cigarette for a daughter .,a parent drew a daughter a cigarette .
a scientist caught a cigarette for a kid .,a scientist caught a kid a cigarette .,the prince took the crystal to the girl .,the prince took the girl the crystal .
a corporation designed a box for a business .,a corporation designed a business a box .,the bishop promised the tea to the daughter .,the bishop promised the daughter the tea .
the lawyer promised the salad to the actor .,the lawyer promised the actor the salad .,an uncle got a chocolate for a friend .,an uncle got a friend a chocolate .
a captain designed a bowl for a winner .,a captain designed a winner a bowl .,the brother sold the chicken to the business .,the brother sold the business the chicken .
an author brought a glass to a prince .,an author brought a prince a glass .,the secretary kept the log for the husband .,the secretary kept the husband the log .
a bishop brought a tea to a club .,a bishop brought a club a tea .,the captain kept the cheese for the business .,the captain kept the business the cheese .
the leader made the engine for the club .,the leader made the club the engine .,a father gave a juice to a company .,a father gave a company a juice .
an administration designed a hat for an army .,an administration designed an army a hat .,the son gave the telephone to the band .,the son gave the band the telephone .
a priest kept a meal for a band .,a priest kept a band a meal .,the hero sent the machine to the corporation .,the hero sent the corporation the machine .
a parent gave a tea to a king .,a parent gave a king a tea .,the physician caught the guitar for the colonel .,the physician caught the colonel the guitar .
a pilot got a coat for a lawyer .,a pilot got a lawyer a coat .,the hero supplied the salad to the club .,the hero supplied the club the salad .
a wife sent a pie to a business .,a wife sent a business a pie .,the hero left the tea for the club .,the hero left the club the tea .
the singer saved the chocolate for the chief .,the singer saved the chief the chocolate .,a cousin took a crystal to a guest .,a cousin took a guest a crystal .
the husband brought the newspaper to the candidate .,the husband brought the candidate the newspaper .,an employer kept a card for a girl .,an employer kept a girl a card .
a princess brought a coffee to an adult .,a princess brought an adult a coffee .,the friend left the knife for the lady .,the friend left the lady the knife .
a president threw a juice to a mother .,a president threw a mother a juice .,the son made the telephone for the boy .,the son made the boy the telephone .
a manager kept a juice for a president .,a manager kept a president a juice .,the child threw the button to the author .,the child threw the author the button .
the sheriff threw the coffee to the cop .,the sheriff threw the cop the coffee .,a captain left a jacket for an army .,a captain left an army a jacket .
the business designed the bowl for the administration .,the business designed the administration the bowl .,a physician sent a jacket to an army .,a physician sent an army a jacket .
a husband kept a coffee for a pilot .,a husband kept a pilot a coffee .,the child supplied the cheese to the army .,the child supplied the army the cheese .
an aunt threw a key to a mother .,an aunt threw a mother a key .,the priest drew the jacket for the business .,the priest drew the business the jacket .
a mother sent a tea to a band .,a mother sent a band a tea .,the doctor caught the anchor for the reader .,the doctor caught the reader the anchor .
the cop took the bag to the uncle .,the cop took the uncle the bag .,a leader saved a book for a business .,a leader saved a business a book .
the boy fed the cheese to the leader .,the boy fed the leader the cheese .,a winner delivered a pie for a mother .,a winner delivered a mother a pie .
the actor saved the hat for the guy .,the actor saved the guy the hat .,a cousin threw a juice to a captain .,a cousin threw a captain a juice .
the captain threw the cheese to the opponent .,the captain threw the opponent the cheese .,a parent delivered a juice for a teacher .,a parent delivered a teacher a juice .
a nurse caught a button for a captain .,a nurse caught a captain a button .,the attorney gave the instrument to the partner .,the attorney gave the partner the instrument .
a company designed a coat for a corporation .,a company designed a corporation a coat .,the partner gave the camera to the club .,the partner gave the club the camera .
the club designed the newspaper for the company .,the club designed the company the newspaper .,a princess sent a chicken to a parent .,a princess sent a parent a chicken .
a winner took a ball to a nurse .,a winner took a nurse a ball .,the child saved the beer for the business .,the child saved the business the beer .
a winner showed a gun to an administration .,a winner showed an administration a gun .,the corporation designed the camera for the club .,the corporation designed the club the camera .
the candidate designed the newspaper for the boy .,the candidate designed the boy the newspaper .,a captain took a camera to a teacher .,a captain took a teacher a camera .
the child gave the cheese to the friend .,the child gave the friend the cheese .,a physician made a television for a business .,a physician made a business a television .
an employer found a bowl for a reader .,an employer found a reader a bowl .,the minister brought the camera to the business .,the minister brought the business the camera .
the professor delivered the juice for the son .,the professor delivered the son the juice .,a woman showed a flower to an army .,a woman showed an army a flower .
the lawyer bought the coffee for the partner .,the lawyer bought the partner the coffee .,a chief promised a chicken to a parent .,a chief promised a parent a chicken .
the singer supplied the cheese to the band .,the singer supplied the band the cheese .,a man left a tea for a princess .,a man left a princess a tea .
a scientist made a key for a student .,a scientist made a student a key .,the mother promised the juice to the princess .,the mother promised the princess the juice .
the soldier showed the chocolate to the woman .,the soldier showed the woman the chocolate .,a kid drew a computer for an employee .,a kid drew an employee a computer .
a princess brought a chicken to a company .,a princess brought a company a chicken .,the soldier found the beer for the army .,the soldier found the army the beer .
the woman bought the juice for the buddy .,the woman bought the buddy the juice .,a physician promised a coffee to a mayor .,a physician promised a mayor a coffee .
the woman brought the coat to the lawyer .,the woman brought the lawyer the coat .,a princess bought a glass for a student .,a princess bought a student a glass .
a princess left a candy for a band .,a princess left a band a candy .,the nurse showed the juice to the opponent .,the nurse showed the opponent the juice .
a kid bought a salad for a friend .,a kid bought a friend a salad .,the actress gave the meal to the scientist .,the actress gave the scientist the meal .
the uncle showed the chicken to the corporation .,the uncle showed the corporation the chicken .,a secretary purchased a wire for a professor .,a secretary purchased a professor a wire .
a husband supplied a salad to an army .,a husband supplied an army a salad .,the author got the wire for the business .,the author got the business the wire .
a sheriff sold an anchor to a student .,a sheriff sold a student an anchor .,the chief designed the button for the candidate .,the chief designed the candidate the button .
a writer bought a salad for a girl .,a writer bought a girl a salad .,the actor gave the beer to the corporation .,the actor gave the corporation the beer .
the winner drew the jacket for the adult .,the winner drew the adult the jacket .,a minister sent a beer to an actress .,a minister sent an actress a beer .
a writer drew a bell for a band .,a writer drew a band a bell .,the employer supplied the beer to the administration .,the employer supplied the administration the beer .
a writer supplied a hat to a company .,a writer supplied a company a hat .,the cousin bought the cheese for the student .,the cousin bought the student the cheese .
the girl gave the chocolate to the parent .,the girl gave the parent the chocolate .,a priest found a beer for a reader .,a priest found a reader a beer .
a boy supplied an iron to a husband .,a boy supplied a husband an iron .,the manager got the pie for the business .,the manager got the business the pie .
the captain saved the tea for the doctor .,the captain saved the doctor the tea .,an uncle took an iron to a girl .,an uncle took a girl an iron .
the worker purchased the beer for the student .,the worker purchased the student the beer .,a lady showed a coffee to a kid .,a lady showed a kid a coffee .
a prince promised a log to a winner .,a prince promised a winner a log .,the lady bought the cup for the child .,the lady bought the child the cup .
a student got an anchor for a business .,a student got a business an anchor .,the chief fed the chicken to the cousin .,the chief fed the cousin the chicken .
the soldier got the log for the army .,the soldier got the army the log .,a hero fed a pie to a parent .,a hero fed a parent a pie .
the cousin drew the glass for the doctor .,the cousin drew the doctor the glass .,a king sent a machine to a club .,a king sent a club a machine .
an aunt found a chicken for a teacher .,an aunt found a teacher a chicken .,the doctor gave the pie to the physician .,the doctor gave the physician the pie .
a student caught a motor for a wife .,a student caught a wife a motor .,the president fed the meal to the manager .,the president fed the manager the meal .
a doctor sold a pie to a lady .,a doctor sold a lady a pie .,the son got the juice for the administration .,the son got the administration the juice .
a captain designed a box for a nurse .,a captain designed a nurse a box .,the father showed the chocolate to the administration .,the father showed the administration the chocolate .
a worker gave a chocolate to a writer .,a worker gave a writer a chocolate .,the boy saved the telephone for the band .,the boy saved the band the telephone .
a student gave a bell to a company .,a student gave a company a bell .,the mother drew the bag for the band .,the mother drew the band the bag .
a friend threw a meal to an opponent .,a friend threw an opponent a meal .,the army designed the computer for the business .,the army designed the business the computer .
the employee bought the chocolate for the opponent .,the employee bought the opponent the chocolate .,a kid brought a juice to an administration .,a kid brought an administration a juice .
the doctor made the box for the opponent .,the doctor made the opponent the box .,an employer supplied a cheese to a woman .,an employer supplied a woman a cheese .
a cop showed a beer to a chief .,a cop showed a chief a beer .,the daughter purchased the juice for the prince .,the daughter purchased the prince the juice .
a winner drew a glass for an employee .,a winner drew an employee a glass .,the cousin gave the coffee to the army .,the cousin gave the army the coffee .
a king promised a juice to an actor .,a king promised an actor a juice .,the candidate purchased the coffee for the army .,the candidate purchased the army the coffee .
a guy left a meal for a business .,a guy left a business a meal .,the child brought the salad to the army .,the child brought the army the salad .
the daughter made the engine for the princess .,the daughter made the princess the engine .,a physician brought a coffee to a business .,a physician brought a business a coffee .
the opponent supplied the cheese to the pilot .,the opponent supplied the pilot the cheese .,a partner left a chocolate for a band .,a partner left a band a chocolate .
the prince showed the beer to the attorney .,the prince showed the attorney the beer .,an author purchased a candy for a sheriff .,an author purchased a sheriff a candy .
an army designed a knife for a club .,an army designed a club a knife .,the lady threw the juice to the priest .,the lady threw the priest the juice .
the parent showed the cheese to the daughter .,the parent showed the daughter the cheese .,a singer made a plate for a corporation .,a singer made a corporation a plate .
the adult sold the book to the club .,the adult sold the club the book .,a friend saved a coffee for a company .,a friend saved a company a coffee .
