pa, pp, ta, tp
the scientist prepares the juice .,the juice is prepared by the scientist .,a kid chased a club .,a club was chased by a kid .
an author carries a beer .,a beer is carried by an author .,the priest grabbed the juice .,the juice was grabbed by the priest .
the teacher hurts the brother .,the brother is hurt by the teacher .,a king wanted a coffee .,a coffee was wanted by a king .
a lawyer drinks a tea .,a tea is drunk by a lawyer .,the boy described the hat .,the hat was described by the boy .
a nurse kisses a chief .,a chief is kissed by a nurse .,the parent dragged the winner .,the winner was dragged by the parent .
a boy discovered a key .,a key was discovered by a boy .,the pilot chases the minister .,the minister is chased by the pilot .
a prince kisses a boy .,a boy is kissed by a prince .,the business used the key .,the key was used by the business .
the reader led the corporation .,the corporation was led by the reader .,a guest teaches a president .,a president is taught by a guest .
a cop beats an opponent .,an opponent is beaten by a cop .,the manager wrapped the cigarette .,the cigarette was wrapped by the manager .
a bishop embraces a candidate .,a candidate is embraced by a bishop .,the army kept the candy .,the candy was kept by the army .
a president kissed a nurse .,a nurse was kissed by a president .,the husband catches the guy .,the guy is caught by the husband .
the girl strikes the champion .,the champion is struck by the girl .,a mother collected a tea .,a tea was collected by a mother .
an actor killed an adult .,an adult was killed by an actor .,the hero collects the jacket .,the jacket is collected by the hero .
the chief protected the mayor .,the mayor was protected by the chief .,an administration wants an instrument .,an instrument is wanted by an administration .
a manager describes an instrument .,an instrument is described by a manager .,the friend kissed the soldier .,the soldier was kissed by the friend .
the princess embraced the president .,the president was embraced by the princess .,a captain wants an engine .,an engine is wanted by a captain .
the captain carries the tea .,the tea is carried by the captain .,a kid used an iron .,an iron was used by a kid .
a nurse struck a sheriff .,a sheriff was struck by a nurse .,the guy comforts the priest .,the priest is comforted by the guy .
the kid chases the army .,the army is chased by the kid .,a band purchased a candy .,a candy was purchased by a band .
the captain washes the daughter .,the daughter is washed by the captain .,a parent kissed an aunt .,an aunt was kissed by a parent .
an uncle grabs a pot .,a pot is grabbed by an uncle .,the mayor judged the club .,the club was judged by the mayor .
a reader judges an aunt .,an aunt is judged by a reader .,the soldier removed the hat .,the hat was removed by the soldier .
a soldier left a bottle .,a bottle was left by a soldier .,the hero grabs the chocolate .,the chocolate is grabbed by the hero .
an attorney drags a motor .,a motor is dragged by an attorney .,the worker hurt the army .,the army was hurt by the worker .
the author accepts the telephone .,the telephone is accepted by the author .,a lawyer followed a president .,a president was followed by a lawyer .
a lady kissed a priest .,a priest was kissed by a lady .,the parent understands the lawyer .,the lawyer is understood by the parent .
the father prepares the glass .,the glass is prepared by the father .,a prince killed a cop .,a cop was killed by a prince .
a leader beat a guest .,a guest was beaten by a leader .,the singer smells the cheese .,the cheese is smelled by the singer .
a father selects a cigarette .,a cigarette is selected by a father .,the wife prepared the candy .,the candy was prepared by the wife .
a soldier eats a salad .,a salad is eaten by a soldier .,the opponent followed the company .,the company was followed by the opponent .
a bishop destroys a beer .,a beer is destroyed by a bishop .,the parent joined the mother .,the mother was joined by the parent .
the president strikes the reader .,the reader is struck by the president .,an army purchased a juice .,a juice was purchased by an army .
the attorney smelled the coffee .,the coffee was smelled by the attorney .,a business purchases an iron .,an iron is purchased by a business .
a priest wrapped a card .,a card was wrapped by a priest .,the brother strikes the friend .,the friend is struck by the brother .
the uncle caught the coffee .,the coffee was caught by the uncle .,an opponent leaves a plate .,a plate is left by an opponent .
a princess leaves a telephone .,a telephone is left by a princess .,the parent described the juice .,the juice was described by the parent .
the brother follows the chief .,the chief is followed by the brother .,a hero drank a tea .,a tea was drunk by a hero .
an uncle carries a juice .,a juice is carried by an uncle .,the employee understood the guy .,the guy was understood by the employee .
a winner surprises a lawyer .,a lawyer is surprised by a winner .,the parent described the juice .,the juice was described by the parent .
a champion catches a glass .,a glass is caught by a champion .,the prince forgave the author .,the author was forgiven by the prince .
a soldier joined a doctor .,a doctor was joined by a soldier .,the secretary describes the beer .,the beer is described by the secretary .
the king forgot the chocolate .,the chocolate was forgotten by the king .,a doctor removes a crystal .,a crystal is removed by a doctor .
the minister tastes the chicken .,the chicken is tasted by the minister .,a pilot destroyed a cheese .,a cheese was destroyed by a pilot .
the uncle broke the television .,the television was broken by the uncle .,a colonel drinks a juice .,a juice is drunk by a colonel .
a father helps a king .,a king is helped by a father .,the writer purchased the plate .,the plate was purchased by the writer .
the student prepared the tea .,the tea was prepared by the student .,a lawyer joins an opponent .,an opponent is joined by a lawyer .
the manager destroys the anchor .,the anchor is destroyed by the manager .,a club used a flower .,a flower was used by a club .
the administration protected the worker .,the worker was protected by the administration .,a singer discovers a box .,a box is discovered by a singer .
a princess broke a book .,a book was broken by a princess .,the lady wraps the hat .,the hat is wrapped by the lady .
a parent judges a buddy .,a buddy is judged by a parent .,the brother accepted the bottle .,the bottle was accepted by the brother .
a bishop breaks an engine .,an engine is broken by a bishop .,the company protected the physician .,the physician was protected by the company .
the wife discovers the singer .,the singer is discovered by the wife .,a champion forgot a tea .,a tea was forgotten by a champion .
the wife keeps the chocolate .,the chocolate is kept by the wife .,a champion judged a club .,a club was judged by a champion .
the lawyer joined the prince .,the prince was joined by the lawyer .,a sheriff drags a gun .,a gun is dragged by a sheriff .
an adult removed an engine .,an engine was removed by an adult .,the brother strikes the friend .,the friend is struck by the brother .
an aunt leaves a flower .,a flower is left by an aunt .,the brother wrapped the television .,the television was wrapped by the brother .
the actor punches the author .,the author is punched by the actor .,a winner led a corporation .,a corporation was led by a winner .
a professor discovered a scientist .,a scientist was discovered by a professor .,the adult prepares the salad .,the salad is prepared by the adult .
a lawyer leaves a bag .,a bag is left by a lawyer .,the army kept the candy .,the candy was kept by the army .
the cousin struck the nurse .,the nurse was struck by the cousin .,a candidate discovers a salad .,a salad is discovered by a candidate .
the wife carries the prince .,the prince is carried by the wife .,a cousin led a corporation .,a corporation was led by a cousin .
a princess broke a knife .,a knife was broken by a princess .,the attorney wraps the telephone .,the telephone is wrapped by the attorney .
a princess comforts a friend .,a friend is comforted by a princess .,the chief purchased the instrument .,the instrument was purchased by the chief .
a manager prepared a juice .,a juice was prepared by a manager .,the president surprises the wife .,the wife is surprised by the president .
the nurse carries the beer .,the beer is carried by the nurse .,a son caught a writer .,a writer was caught by a son .
a student forgets a guy .,a guy is forgotten by a student .,the prince removed the bag .,the bag was removed by the prince .
a lawyer eats a cheese .,a cheese is eaten by a lawyer .,the business helped the daughter .,the daughter was helped by the business .
the bishop teaches the professor .,the professor is taught by the bishop .,a lady punched a pilot .,a pilot was punched by a lady .
the manager hurt the worker .,the worker was hurt by the manager .,a chief raises a coffee .,a coffee is raised by a chief .
the daughter comforts the singer .,the singer is comforted by the daughter .,a scientist hurt a club .,a club was hurt by a scientist .
a parent forgave a soldier .,a soldier was forgiven by a parent .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .
the teacher drinks the beer .,the beer is drunk by the teacher .,a princess bothered a man .,a man was bothered by a princess .
a hero describes a guitar .,a guitar is described by a hero .,the writer purchased the plate .,the plate was purchased by the writer .
the soldier removes the computer .,the computer is removed by the soldier .,a priest hurried a sheriff .,a sheriff was hurried by a priest .
a scientist leads an administration .,an administration is led by a scientist .,the child hurt the boy .,the boy was hurt by the child .
the nurse beat the kid .,the kid was beaten by the nurse .,a winner washes a newspaper .,a newspaper is washed by a winner .
a singer judges a business .,a business is judged by a singer .,the manager wrapped the cigarette .,the cigarette was wrapped by the manager .
a candidate hurt a club .,a club was hurt by a candidate .,the captain selects the child .,the child is selected by the captain .
the opponent struck the colonel .,the colonel was struck by the opponent .,an adult collects a tea .,a tea is collected by an adult .
the candidate wanted the juice .,the juice was wanted by the candidate .,a secretary hurries a hero .,a hero is hurried by a secretary .
the band purchases the beer .,the beer is purchased by the band .,a doctor discovered a cigarette .,a cigarette was discovered by a doctor .
the president catches the television .,the television is caught by the president .,an uncle taught a wife .,a wife was taught by an uncle .
the actress judges the king .,the king is judged by the actress .,a band helped a partner .,a partner was helped by a band .
a nurse destroys an anchor .,an anchor is destroyed by a nurse .,the lawyer embraced the woman .,the woman was embraced by the lawyer .
a leader asks an army .,an army is asked by a leader .,the priest described the juice .,the juice was described by the priest .
the guy dragged the motor .,the motor was dragged by the guy .,a wife kills a singer .,a singer is killed by a wife .
the guy beat the son .,the son was beaten by the guy .,a chief carries a princess .,a princess is carried by a chief .
an opponent hurried an uncle .,an uncle was hurried by an opponent .,the president purchases the pie .,the pie is purchased by the president .
the opponent grabs the cheese .,the cheese is grabbed by the opponent .,a mother bothered a club .,a club was bothered by a mother .
the adult kissed the minister .,the minister was kissed by the adult .,a leader prepares a pie .,a pie is prepared by a leader .
the guy grabs the cheese .,the cheese is grabbed by the guy .,a sheriff smelled a pie .,a pie was smelled by a sheriff .
a president followed an administration .,an administration was followed by a president .,the guest raises the meal .,the meal is raised by the guest .
the doctor broke the ball .,the ball was broken by the doctor .,a girl kisses an employer .,an employer is kissed by a girl .
a princess protected a buddy .,a buddy was protected by a princess .,the captain removes the hat .,the hat is removed by the captain .
a father bothers a business .,a business is bothered by a father .,the actor removed the bottle .,the bottle was removed by the actor .
the winner washes the boy .,the boy is washed by the winner .,a parent collected a cheese .,a cheese was collected by a parent .
the cop hurries the nurse .,the nurse is hurried by the cop .,a pilot chased an employee .,an employee was chased by a pilot .
a minister strikes a father .,a father is struck by a minister .,the secretary destroyed the book .,the book was destroyed by the secretary .
a parent forgot a juice .,a juice was forgotten by a parent .,the attorney drags the camera .,the camera is dragged by the attorney .
a girl drags an employer .,an employer is dragged by a girl .,the doctor left the crystal .,the crystal was left by the doctor .
the singer prepares the chicken .,the chicken is prepared by the singer .,a priest hurried a sheriff .,a sheriff was hurried by a priest .
a cousin drank a beer .,a beer was drunk by a cousin .,the professor hurts the corporation .,the corporation is hurt by the professor .
a singer tasted a chicken .,a chicken was tasted by a singer .,the leader discovers the coffee .,the coffee is discovered by the leader .
the boy joined the guy .,the guy was joined by the boy .,a scientist judges a prince .,a prince is judged by a scientist .
a son hurries a champion .,a champion is hurried by a son .,the doctor understood the mayor .,the mayor was understood by the doctor .
an employer chased a company .,a company was chased by an employer .,the attorney beats the parent .,the parent is beaten by the attorney .
a manager surprises a cousin .,a cousin is surprised by a manager .,the club purchased the candy .,the candy was purchased by the club .
a winner eats a candy .,a candy is eaten by a winner .,the sheriff broke the guitar .,the guitar was broken by the sheriff .
the aunt uses the bell .,the bell is used by the aunt .,a princess removed a computer .,a computer was removed by a princess .
a prince kissed a worker .,a worker was kissed by a prince .,the company protects the professor .,the professor is protected by the company .
the teacher accepts the crystal .,the crystal is accepted by the teacher .,a woman beat an uncle .,an uncle was beaten by a woman .
an uncle asked a nurse .,a nurse was asked by an uncle .,the captain selects the child .,the child is selected by the captain .
an adult tastes a meal .,a meal is tasted by an adult .,the partner wanted the book .,the book was wanted by the partner .
an author removed a log .,a log was removed by an author .,the bishop purchases the tea .,the tea is purchased by the bishop .
the woman chases the priest .,the priest is chased by the woman .,a husband raised a juice .,a juice was raised by a husband .
a pilot prepares a tea .,a tea is prepared by a pilot .,the cousin raised the book .,the book was raised by the cousin .
the actress grabs the meal .,the meal is grabbed by the actress .,an army purchased a juice .,a juice was purchased by an army .
the husband asked the club .,the club was asked by the husband .,a pilot judges a band .,a band is judged by a pilot .
a priest embraced a father .,a father was embraced by a priest .,the scientist drags the kid .,the kid is dragged by the scientist .
a colonel followed an army .,an army was followed by a colonel .,the husband asks the administration .,the administration is asked by the husband .
the lawyer raises the juice .,the juice is raised by the lawyer .,an administration purchased a tea .,a tea was purchased by an administration .
a wife punched a champion .,a champion was punched by a wife .,the secretary destroys the pie .,the pie is destroyed by the secretary .
the worker wrapped the box .,the box was wrapped by the worker .,a wife understands a singer .,a singer is understood by a wife .
a doctor catches a professor .,a professor is caught by a doctor .,the cousin collected the beer .,the beer was collected by the cousin .
a lawyer strikes a woman .,a woman is struck by a lawyer .,the son wrapped the cup .,the cup was wrapped by the son .
the reader collects the hat .,the hat is collected by the reader .,a cop beat a princess .,a princess was beaten by a cop .
the president smelled the cheese .,the cheese was smelled by the president .,an author punches a soldier .,a soldier is punched by an author .
the worker beats the kid .,the kid is beaten by the worker .,a physician kept a card .,a card was kept by a physician .
the colonel joins the company .,the company is joined by the colonel .,a president forgave a brother .,a brother was forgiven by a president .
the employer catches the pie .,the pie is caught by the employer .,a nurse raised a juice .,a juice was raised by a nurse .
a child taught a prince .,a prince was taught by a child .,the soldier forgets the coffee .,the coffee is forgotten by the soldier .
the soldier surprised the winner .,the winner was surprised by the soldier .,a chief carries a princess .,a princess is carried by a chief .
a bishop grabbed a juice .,a juice was grabbed by a bishop .,the candidate bothers the princess .,the princess is bothered by the candidate .
the pilot comforts the buddy .,the buddy is comforted by the pilot .,a cousin led a corporation .,a corporation was led by a cousin .
the buddy collected the meal .,the meal was collected by the buddy .,a student drinks a coffee .,a coffee is drunk by a student .
a child grabbed a gun .,a gun was grabbed by a child .,the lady wraps the hat .,the hat is wrapped by the lady .
the cousin raises the ball .,the ball is raised by the cousin .,a prince beat a nurse .,a nurse was beaten by a prince .
the student protected the pilot .,the pilot was protected by the student .,a soldier follows a corporation .,a corporation is followed by a soldier .
a teacher beats a singer .,a singer is beaten by a teacher .,the prince caught the candy .,the candy was caught by the prince .
an army wants a plate .,a plate is wanted by an army .,the business kept the meal .,the meal was kept by the business .
a mayor follows an author .,an author is followed by a mayor .,the lady smelled the salad .,the salad was smelled by the lady .
the child discovered the tea .,the tea was discovered by the child .,an employer protects an actress .,an actress is protected by an employer .
the woman forgets the chocolate .,the chocolate is forgotten by the woman .,a pilot bothered an administration .,an administration was bothered by a pilot .
the soldier asked the uncle .,the uncle was asked by the soldier .,an employee comforts a parent .,a parent is comforted by an employee .
the adult follows the cop .,the cop is followed by the adult .,a champion described a winner .,a winner was described by a champion .
a worker removes a cigarette .,a cigarette is removed by a worker .,the boy drank the juice .,the juice was drunk by the boy .
the cop understood the pilot .,the pilot was understood by the cop .,a minister kisses an adult .,an adult is kissed by a minister .
a scientist tastes a meal .,a meal is tasted by a scientist .,the sheriff killed the man .,the man was killed by the sheriff .
the student understood the scientist .,the scientist was understood by the student .,a priest collects a meal .,a meal is collected by a priest .
the pilot discovered the salad .,the salad was discovered by the pilot .,a woman drags a cop .,a cop is dragged by a woman .
an opponent forgets a newspaper .,a newspaper is forgotten by an opponent .,the girl ate the pie .,the pie was eaten by the girl .
the employee wants the cheese .,the cheese is wanted by the employee .,a captain grabbed a student .,a student was grabbed by a captain .
a secretary accepts a coat .,a coat is accepted by a secretary .,the minister discovered the guitar .,the guitar was discovered by the minister .
the boy wraps the iron .,the iron is wrapped by the boy .,a parent washed a singer .,a singer was washed by a parent .
the prince washes the coat .,the coat is washed by the prince .,a president removed a computer .,a computer was removed by a president .
the actress hurt the kid .,the kid was hurt by the actress .,a husband bothers a prince .,a prince is bothered by a husband .
the physician carried the wire .,the wire was carried by the physician .,a teacher discovers a chief .,a chief is discovered by a teacher .
the priest washes the book .,the book is washed by the priest .,a kid used an iron .,an iron was used by a kid .
the corporation helps the doctor .,the doctor is helped by the corporation .,a captain removed a camera .,a camera was removed by a captain .
the cop prepares the tea .,the tea is prepared by the cop .,a buddy taught an actor .,an actor was taught by a buddy .
a president embraces a man .,a man is embraced by a president .,the sheriff broke the guitar .,the guitar was broken by the sheriff .
the author catches the bottle .,the bottle is caught by the author .,a president hurried a kid .,a kid was hurried by a president .
a captain kisses a writer .,a writer is kissed by a captain .,the child hurried the wife .,the wife was hurried by the child .
a child kissed a student .,a student was kissed by a child .,the doctor punches the uncle .,the uncle is punched by the doctor .
a minister follows an administration .,an administration is followed by a minister .,the writer caught the king .,the king was caught by the writer .
the winner drank the beer .,the beer was drunk by the winner .,an aunt kills a boy .,a boy is killed by an aunt .
the lawyer taught the attorney .,the attorney was taught by the lawyer .,a nurse grabs a computer .,a computer is grabbed by a nurse .
a husband wraps a machine .,a machine is wrapped by a husband .,the business kept the key .,the key was kept by the business .
the business purchases the motor .,the motor is purchased by the business .,a mother bothered a club .,a club was bothered by a mother .
a sheriff beat a lady .,a lady was beaten by a sheriff .,the leader wraps the crystal .,the crystal is wrapped by the leader .
the opponent destroys the telephone .,the telephone is destroyed by the opponent .,a sheriff tasted a salad .,a salad was tasted by a sheriff .
the princess follows the doctor .,the doctor is followed by the princess .,a winner grabbed a chicken .,a chicken was grabbed by a winner .
the priest teaches the kid .,the kid is taught by the priest .,a man punched a partner .,a partner was punched by a man .
the woman punched the cousin .,the cousin was punched by the woman .,a student judges a nurse .,a nurse is judged by a student .
the corporation keeps the bell .,the bell is kept by the corporation .,a wife kissed a man .,a man was kissed by a wife .
the boy forgets the aunt .,the aunt is forgotten by the boy .,a pilot chased an employee .,an employee was chased by a pilot .
the colonel embraces the friend .,the friend is embraced by the colonel .,a secretary grabbed an adult .,an adult was grabbed by a secretary .
the parent killed the kid .,the kid was killed by the parent .,an administration wants a card .,a card is wanted by an administration .
an employee judged an actress .,an actress was judged by an employee .,the soldier comforts the wife .,the wife is comforted by the soldier .
the friend follows the army .,the army is followed by the friend .,a child caught a beer .,a beer was caught by a child .
the doctor raises the meal .,the meal is raised by the doctor .,a partner struck an author .,an author was struck by a partner .
a son dragged a friend .,a friend was dragged by a son .,the opponent protects the wife .,the wife is protected by the opponent .
an employee destroyed a coffee .,a coffee was destroyed by an employee .,the lady hurries the priest .,the priest is hurried by the lady .
the brother bothers the corporation .,the corporation is bothered by the brother .,a woman beat an uncle .,an uncle was beaten by a woman .
the writer comforted the uncle .,the uncle was comforted by the writer .,a parent selects a beer .,a beer is selected by a parent .
a woman smells a meal .,a meal is smelled by a woman .,the father caught the worker .,the worker was caught by the father .
a woman bothered an attorney .,an attorney was bothered by a woman .,the daughter keeps the candy .,the candy is kept by the daughter .
the partner taught the adult .,the adult was taught by the partner .,a manager drags a captain .,a captain is dragged by a manager .
the daughter led the corporation .,the corporation was led by the daughter .,a buddy smells an anchor .,an anchor is smelled by a buddy .
the employer understands the bishop .,the bishop is understood by the employer .,a minister judged a chief .,a chief was judged by a minister .
a guest prepares a meal .,a meal is prepared by a guest .,the colonel forgot the cup .,the cup was forgotten by the colonel .
the hero destroyed the book .,the book was destroyed by the hero .,a captain collects a computer .,a computer is collected by a captain .
the leader raised the newspaper .,the newspaper was raised by the leader .,a lawyer strikes an opponent .,an opponent is struck by a lawyer .
the princess strikes the hero .,the hero is struck by the princess .,a daughter understood a candidate .,a candidate was understood by a daughter .
the candidate describes the television .,the television is described by the candidate .,a king struck a pilot .,a pilot was struck by a king .
the cop discovered the meal .,the meal was discovered by the cop .,a teacher purchases a cigarette .,a cigarette is purchased by a teacher .
a father collects a cigarette .,a cigarette is collected by a father .,the sheriff grabbed the cheese .,the cheese was grabbed by the sheriff .
the singer ate the pie .,the pie was eaten by the singer .,a mayor washes an opponent .,an opponent is washed by a mayor .
a prince accepted a knife .,a knife was accepted by a prince .,the child discovers the beer .,the beer is discovered by the child .
the manager collected the meal .,the meal was collected by the manager .,a sheriff chases an army .,an army is chased by a sheriff .
the mayor grabbed the ball .,the ball was grabbed by the mayor .,a teacher joins a kid .,a kid is joined by a teacher .
a lawyer uses a knife .,a knife is used by a lawyer .,the man carried the anchor .,the anchor was carried by the man .
the uncle chases the son .,the son is chased by the uncle .,a singer selected a writer .,a writer was selected by a singer .
the writer judged the band .,the band was judged by the writer .,a sheriff punches a daughter .,a daughter is punched by a sheriff .
a friend used a button .,a button was used by a friend .,the doctor punches the uncle .,the uncle is punched by the doctor .
the professor collected the cheese .,the cheese was collected by the professor .,a wife bothers an author .,an author is bothered by a wife .
a secretary surprised a president .,a president was surprised by a secretary .,the bishop purchases the tea .,the tea is purchased by the bishop .
a cop grabbed a son .,a son was grabbed by a cop .,the opponent collects the salad .,the salad is collected by the opponent .
a nurse understands a candidate .,a candidate is understood by a nurse .,the brother led the club .,the club was led by the brother .
a worker drags a jacket .,a jacket is dragged by a worker .,the girl surprised the scientist .,the scientist was surprised by the girl .
an uncle washed a doctor .,a doctor was washed by an uncle .,the winner kills the chief .,the chief is killed by the winner .
the cousin asks the chief .,the chief is asked by the cousin .,a buddy removed a knife .,a knife was removed by a buddy .
an opponent described a candy .,a candy was described by an opponent .,the lady hurries the priest .,the priest is hurried by the lady .
the kid breaks the wire .,the wire is broken by the kid .,a company kept a cigarette .,a cigarette was kept by a company .
the buddy kisses the employer .,the employer is kissed by the buddy .,a colonel protected a physician .,a physician was protected by a colonel .
the princess prepares the crystal .,the crystal is prepared by the princess .,a woman beat an uncle .,an uncle was beaten by a woman .
a friend forgave a guest .,a guest was forgiven by a friend .,the uncle leads the business .,the business is led by the uncle .
a winner chases a club .,a club is chased by a winner .,the cop raised the tea .,the tea was raised by the cop .
the employer beats the champion .,the champion is beaten by the employer .,a pilot left an iron .,an iron was left by a pilot .
the corporation protected the leader .,the leader was protected by the corporation .,a wife beats a singer .,a singer is beaten by a wife .
the princess joined the hero .,the hero was joined by the princess .,a buddy selects a tea .,a tea is selected by a buddy .
a sheriff surprises a cop .,a cop is surprised by a sheriff .,the priest embraced the hero .,the hero was embraced by the priest .
an attorney struck a hero .,a hero was struck by an attorney .,the candidate bothers the princess .,the princess is bothered by the candidate .
an actor grabbed a juice .,a juice was grabbed by an actor .,the minister describes the beer .,the beer is described by the minister .
a minister kills a son .,a son is killed by a minister .,the parent dragged the winner .,the winner was dragged by the parent .
the chief chased the corporation .,the corporation was chased by the chief .,an uncle strikes a brother .,a brother is struck by an uncle .
the priest surprises the minister .,the minister is surprised by the priest .,a singer chased an army .,an army was chased by a singer .
the cousin asks the business .,the business is asked by the cousin .,a daughter purchased a button .,a button was purchased by a daughter .
a business wanted a bag .,a bag was wanted by a business .,the friend prepares the chicken .,the chicken is prepared by the friend .
a sheriff punches a bishop .,a bishop is punched by a sheriff .,the friend left the cigarette .,the cigarette was left by the friend .
the secretary carries the tea .,the tea is carried by the secretary .,a winner used a card .,a card was used by a winner .
the champion drinks the coffee .,the coffee is drunk by the champion .,an actress helped a colonel .,a colonel was helped by an actress .
a teacher comforts a partner .,a partner is comforted by a teacher .,the minister purchased the beer .,the beer was purchased by the minister .
the captain eats the cheese .,the cheese is eaten by the captain .,a lawyer beat an employee .,an employee was beaten by a lawyer .
the husband hurts the administration .,the administration is hurt by the husband .,a kid used a hat .,a hat was used by a kid .
the manager describes the telephone .,the telephone is described by the manager .,a father kissed a wife .,a wife was kissed by a father .
a boy teaches a chief .,a chief is taught by a boy .,the company protected the physician .,the physician was protected by the company .
a singer kisses an uncle .,an uncle is kissed by a singer .,the brother collected the book .,the book was collected by the brother .
the actor accepts the pot .,the pot is accepted by the actor .,a kid raised a machine .,a machine was raised by a kid .
the wife asks the corporation .,the corporation is asked by the wife .,a president smelled a wire .,a wire was smelled by a president .
the company uses the cigarette .,the cigarette is used by the company .,a president smelled a wire .,a wire was smelled by a president .
the man joins the company .,the company is joined by the man .,a student ate a salad .,a salad was eaten by a student .
a friend destroys a doctor .,a doctor is destroyed by a friend .,the business kept the key .,the key was kept by the business .
the minister purchased the tea .,the tea was purchased by the minister .,a girl hurries a prince .,a prince is hurried by a girl .
the opponent describes the television .,the television is described by the opponent .,a reader led a company .,a company was led by a reader .
a champion forgave a guy .,a guy was forgiven by a champion .,the minister removes the bowl .,the bowl is removed by the minister .
a scientist purchased a coffee .,a coffee was purchased by a scientist .,the opponent strikes the girl .,the girl is struck by the opponent .
a son chased an employer .,an employer was chased by a son .,the girl smells the chicken .,the chicken is smelled by the girl .
a writer grabbed a bottle .,a bottle was grabbed by a writer .,the captain keeps the tea .,the tea is kept by the captain .
a colonel chased a business .,a business was chased by a colonel .,the sheriff forgets the button .,the button is forgotten by the sheriff .
a business purchased a juice .,a juice was purchased by a business .,the mayor eats the salad .,the salad is eaten by the mayor .
a secretary grabbed a son .,a son was grabbed by a secretary .,the singer selects the gun .,the gun is selected by the singer .
a cop punched a woman .,a woman was punched by a cop .,the prince asks the corporation .,the corporation is asked by the prince .
a doctor washed a cigarette .,a cigarette was washed by a doctor .,the actor forgives the administration .,the administration is forgiven by the actor .
a teacher smelled a guitar .,a guitar was smelled by a teacher .,the child wraps the coat .,the coat is wrapped by the child .
a priest struck a princess .,a princess was struck by a priest .,the guest raises the meal .,the meal is raised by the guest .
the captain discovered the salad .,the salad was discovered by the captain .,a company helps an employee .,an employee is helped by a company .
an opponent surprises a physician .,a physician is surprised by an opponent .,the son wrapped the cup .,the cup was wrapped by the son .
an opponent grabs a champion .,a champion is grabbed by an opponent .,the child hurt the boy .,the boy was hurt by the child .
the professor prepares the salad .,the salad is prepared by the professor .,a lady hurt a company .,a company was hurt by a lady .
the actress uses the bag .,the bag is used by the actress .,a teacher bothered an army .,an army was bothered by a teacher .
an actor understands a professor .,a professor is understood by an actor .,the cousin followed the sheriff .,the sheriff was followed by the cousin .
the reader ate the pie .,the pie was eaten by the reader .,a husband bothers a prince .,a prince is bothered by a husband .
a winner left a knife .,a knife was left by a winner .,the business protects the princess .,the princess is protected by the business .
the opponent judges the soldier .,the soldier is judged by the opponent .,a professor raised a physician .,a physician was raised by a professor .
a king destroys a coffee .,a coffee is destroyed by a king .,the minister punched the employee .,the employee was punched by the minister .
an aunt hurried a husband .,a husband was hurried by an aunt .,the corporation uses the box .,the box is used by the corporation .
the princess tastes the chocolate .,the chocolate is tasted by the princess .,a winner grabbed a chicken .,a chicken was grabbed by a winner .
a cop collects a pie .,a pie is collected by a cop .,the hero forgot the beer .,the beer was forgotten by the hero .
the child hurt the partner .,the partner was hurt by the child .,an author joins a lady .,a lady is joined by an author .
